B (Tesla) ,P
0 ,0
0.021634281000000002 ,16.86759404
0.023760086999999999 ,19.70997123
0.025610171000000001 ,25.17480896
0.027864257999999999 ,30.4152778
0.031474926 ,40.16656883
0.034893202999999998 ,51.30325585
0.037610169999999998 ,64.08601764
0.041305782999999999 ,79.16819159
0.046222935999999999 ,105.7193756
0.051725440999999997 ,133.5376917
0.057882980000000001 ,174.3997643
0.063570619999999994 ,238.1286195
0.072484347000000005 ,304.152778
0.077399494999999999 ,379.9357365
0.086613342999999995 ,490.7058732
0.101574399 ,655.2772959
0.113666094 ,904.7357242
0.124835038 ,1155.585097
0.13839251999999999 ,1492.495545
