[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 23585
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1679.99817 [s^-1 rad]
Frequency          = 534.760010 [Hz]
Engine Order       = 2

[Spatial Fields]
x, y, z

[Data]
x [ m ], y [ m ], z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
 7.70633150E-02,  2.16396700E-01,  6.80031330E-02, -2.85458890E+03,  2.67323360E+02
 7.75088520E-02,  2.18023700E-01,  6.77666960E-02, -3.12198220E+03,  1.05432670E+02
 7.79422600E-02,  2.19653680E-01,  6.75283000E-02, -3.40952690E+03, -9.04140170E+01
 7.83634480E-02,  2.21285850E-01,  6.72832130E-02, -3.68531760E+03, -3.35896300E+02
 7.87724330E-02,  2.22919360E-01,  6.70267420E-02, -3.91586350E+03, -6.23920290E+02
 7.91743700E-02,  2.24562210E-01,  6.67548110E-02, -4.04783450E+03, -9.92692810E+02
 7.95788390E-02,  2.26254810E-01,  6.64527190E-02, -4.07277420E+03, -1.42498790E+03
 7.99756800E-02,  2.27944900E-01,  6.61276500E-02, -3.95439990E+03, -1.91362410E+03
 8.03659780E-02,  2.29631100E-01,  6.57755060E-02, -3.83138750E+03, -2.63637670E+03
 8.07489450E-02,  2.31311900E-01,  6.53909970E-02, -3.68242260E+03, -3.01392430E+03
 8.09357390E-02,  2.32136730E-01,  6.51892200E-02, -4.30652490E+03, -2.65009010E+03
 8.10533840E-02,  2.32654260E-01,  6.50584330E-02, -5.39510350E+03, -2.10054540E+03
 8.11261680E-02,  2.32979220E-01,  6.49736450E-02, -6.52594870E+03, -1.65619190E+03
 8.11723400E-02,  2.33183340E-01,  6.49199710E-02, -7.39837550E+03, -1.41356380E+03
 8.12015380E-02,  2.33311580E-01,  6.48860780E-02, -7.91229590E+03, -1.30136240E+03
 8.12199560E-02,  2.33392180E-01,  6.48647100E-02, -8.14962940E+03, -1.24910380E+03
 8.12315640E-02,  2.33442830E-01,  6.48512540E-02, -8.23672270E+03, -1.22127840E+03
 8.12388730E-02,  2.33474670E-01,  6.48427900E-02, -8.26502540E+03, -1.21058620E+03
 8.12434780E-02,  2.33494680E-01,  6.48374560E-02, -8.27736040E+03, -1.20889810E+03
 8.12463690E-02,  2.33507280E-01,  6.48341100E-02, -8.28612500E+03, -1.21592210E+03
 8.12481870E-02,  2.33515190E-01,  6.48320020E-02, -8.30135250E+03, -1.23892110E+03
 8.12493340E-02,  2.33520150E-01,  6.48306760E-02, -8.31175290E+03, -1.29433240E+03
 2.35069930E-02,  1.15364670E-01,  8.64864220E-02,  3.26337650E+02, -8.77445620E+02
 2.35102330E-02,  1.15369360E-01,  8.64864660E-02,  3.26283080E+02, -8.77295780E+02
 2.35153680E-02,  1.15376790E-01,  8.64865480E-02,  3.26200260E+02, -8.77243840E+02
 2.35235100E-02,  1.15388560E-01,  8.64866750E-02,  3.26000030E+02, -8.76940430E+02
 2.35364210E-02,  1.15407240E-01,  8.64868830E-02,  3.25532840E+02, -8.76095890E+02
 2.35569050E-02,  1.15436840E-01,  8.64872110E-02,  3.24856020E+02, -8.74132810E+02
 2.35893970E-02,  1.15483790E-01,  8.64877400E-02,  3.24501890E+02, -8.71050480E+02
 2.36409570E-02,  1.15558200E-01,  8.64886050E-02,  3.22018860E+02, -8.67805600E+02
 2.37228010E-02,  1.15676130E-01,  8.64900350E-02,  3.12514650E+02, -8.65492920E+02
 2.38528030E-02,  1.15862990E-01,  8.64924490E-02,  3.07780150E+02, -8.61100280E+02
 2.40595750E-02,  1.16158830E-01,  8.64964950E-02,  3.31973690E+02, -8.50878300E+02
 2.43903380E-02,  1.16625930E-01,  8.65004210E-02,  3.60055390E+02, -8.24627440E+02
 2.49196780E-02,  1.17363120E-01,  8.65053310E-02,  2.43259170E+02, -8.25135930E+02
 2.59731650E-02,  1.18793090E-01,  8.65069260E-02,  5.95855100E+01, -6.96779110E+02
 2.70476700E-02,  1.20207250E-01,  8.64977540E-02,  6.29762730E+01, -4.83123170E+02
 2.81396820E-02,  1.21607710E-01,  8.64801700E-02,  1.93308960E+02, -3.79697080E+02
 2.92418990E-02,  1.22999560E-01,  8.64694640E-02,  3.07138060E+02, -4.78205140E+02
 3.03521490E-02,  1.24374220E-01,  8.64483940E-02,  3.23301760E+02, -7.15695740E+02
 3.14501340E-02,  1.25756990E-01,  8.63936840E-02,  2.04192430E+02, -9.92142090E+02
 3.25571220E-02,  1.27132120E-01,  8.63286110E-02, -2.31572270E+01, -1.18298670E+03
 3.36709280E-02,  1.28501090E-01,  8.62511250E-02, -2.75620300E+02, -1.19808760E+03
 3.47890370E-02,  1.29866180E-01,  8.61613450E-02, -4.81433620E+02, -1.06014420E+03
 3.59014980E-02,  1.31220150E-01,  8.60588770E-02, -5.98380370E+02, -8.33942750E+02
 3.70041470E-02,  1.32564190E-01,  8.59477820E-02, -6.03653440E+02, -5.86544920E+02
 3.81068100E-02,  1.33908760E-01,  8.58437720E-02, -4.99927800E+02, -3.85400850E+02
 3.92059130E-02,  1.35256080E-01,  8.57377200E-02, -3.17004580E+02, -2.81622740E+02
 4.02984130E-02,  1.36601430E-01,  8.55680410E-02, -9.78685150E+01, -3.02310880E+02
 4.13786960E-02,  1.37947870E-01,  8.53324980E-02,  1.07859440E+02, -4.17614590E+02
 4.24203800E-02,  1.39274060E-01,  8.50789030E-02,  2.59981930E+02, -5.76892940E+02
 4.34420850E-02,  1.40606450E-01,  8.47996100E-02,  3.42134460E+02, -7.33474180E+02
 4.44499780E-02,  1.41953380E-01,  8.45432580E-02,  3.51876890E+02, -8.58061890E+02
 4.54423460E-02,  1.43310350E-01,  8.42792320E-02,  3.03944520E+02, -9.41236940E+02
 4.64125090E-02,  1.44676830E-01,  8.39836300E-02,  2.11213940E+02, -9.95418330E+02
 4.73548580E-02,  1.46048870E-01,  8.36568620E-02,  8.98400730E+01, -1.02881400E+03
 4.82617390E-02,  1.47417310E-01,  8.33055900E-02, -4.90282140E+01, -1.04177700E+03
 4.91412880E-02,  1.48796420E-01,  8.29277040E-02, -1.97434480E+02, -1.04310750E+03
 4.99885570E-02,  1.50184420E-01,  8.25130120E-02, -3.39951900E+02, -1.03350000E+03
 5.08031320E-02,  1.51577830E-01,  8.20551370E-02, -4.68503690E+02, -1.00884470E+03
 5.15934490E-02,  1.52981070E-01,  8.15848710E-02, -5.77150390E+02, -9.77937380E+02
 5.23627290E-02,  1.54388890E-01,  8.11098140E-02, -6.61023320E+02, -9.37320740E+02
 5.31163770E-02,  1.55800160E-01,  8.06373730E-02, -7.30047360E+02, -8.85338680E+02
 5.38622250E-02,  1.57218860E-01,  8.01736640E-02, -7.95529720E+02, -8.24697570E+02
 5.46055850E-02,  1.58644450E-01,  7.97264800E-02, -8.65106380E+02, -7.55607180E+02
 5.53489920E-02,  1.60077330E-01,  7.93032270E-02, -9.41312740E+02, -6.80428590E+02
 5.60922180E-02,  1.61516830E-01,  7.89026170E-02, -1.02474330E+03, -5.98673580E+02
 5.68255450E-02,  1.62952890E-01,  7.85210950E-02, -1.11213560E+03, -5.08606170E+02
 5.75480010E-02,  1.64391500E-01,  7.81520380E-02, -1.19640590E+03, -4.12552980E+02
 5.82610370E-02,  1.65837710E-01,  7.77943730E-02, -1.27559420E+03, -3.13827550E+02
 5.89621180E-02,  1.67291520E-01,  7.74439200E-02, -1.35392000E+03, -2.13212010E+02
 5.96478800E-02,  1.68754220E-01,  7.70998450E-02, -1.43048900E+03, -1.14298480E+02
 6.03248550E-02,  1.70224200E-01,  7.67681600E-02, -1.50900680E+03, -1.95910400E+01
 6.09882660E-02,  1.71699780E-01,  7.64363330E-02, -1.59506040E+03,  6.81158680E+01
 6.16387200E-02,  1.73180770E-01,  7.61038880E-02, -1.68836430E+03,  1.49656590E+02
 6.22759870E-02,  1.74667020E-01,  7.57694690E-02, -1.78108840E+03,  2.22692980E+02
 6.29003640E-02,  1.76158200E-01,  7.54330010E-02, -1.86724940E+03,  2.85289180E+02
 6.35045690E-02,  1.77653430E-01,  7.50798580E-02, -1.94305140E+03,  3.37051730E+02
 6.40993270E-02,  1.79152340E-01,  7.47257170E-02, -2.01181580E+03,  3.81529850E+02
 6.46868870E-02,  1.80664660E-01,  7.43689160E-02, -2.06971260E+03,  4.20164920E+02
 6.52656560E-02,  1.82180880E-01,  7.40130390E-02, -2.11187350E+03,  4.51599120E+02
 6.58376590E-02,  1.83700230E-01,  7.36596440E-02, -2.13263870E+03,  4.78937260E+02
 6.64051850E-02,  1.85222220E-01,  7.33103680E-02, -2.13247610E+03,  5.08502900E+02
 6.69675390E-02,  1.86747460E-01,  7.29669630E-02, -2.11145340E+03,  5.46263850E+02
 6.75223990E-02,  1.88277570E-01,  7.26279990E-02, -2.07572090E+03,  5.90706730E+02
 6.80767370E-02,  1.89812210E-01,  7.22968500E-02, -2.03276600E+03,  6.47785770E+02
 6.86298460E-02,  1.91349400E-01,  7.19756410E-02, -1.99154870E+03,  7.19181030E+02
 6.91821800E-02,  1.92889330E-01,  7.16663750E-02, -1.95274160E+03,  7.90342900E+02
 6.97327630E-02,  1.94432350E-01,  7.13695360E-02, -1.91665060E+03,  8.49699400E+02
 7.02833760E-02,  1.95978030E-01,  7.10868160E-02, -1.87692980E+03,  8.95022460E+02
 7.08326850E-02,  1.97526400E-01,  7.08146390E-02, -1.83671740E+03,  9.21447390E+02
 7.13793490E-02,  1.99078200E-01,  7.05546960E-02, -1.80714140E+03,  9.19416930E+02
 7.19224210E-02,  2.00632840E-01,  7.03043940E-02, -1.80067920E+03,  8.90379520E+02
 7.24611880E-02,  2.02190100E-01,  7.00611170E-02, -1.81791520E+03,  8.47419920E+02
 7.29949850E-02,  2.03749750E-01,  6.98222890E-02, -1.85320430E+03,  7.97847900E+02
 7.35234770E-02,  2.05311490E-01,  6.95852860E-02, -1.90302330E+03,  7.44927550E+02
 7.40493010E-02,  2.06883760E-01,  6.93465400E-02, -1.96430550E+03,  6.95899540E+02
 7.45532740E-02,  2.08468910E-01,  6.90920730E-02, -2.05004810E+03,  6.36145870E+02
 7.50441850E-02,  2.10058050E-01,  6.88356680E-02, -2.16921240E+03,  5.68619690E+02
 7.55243900E-02,  2.11650830E-01,  6.85815590E-02, -2.30749680E+03,  5.03653500E+02
 7.59922710E-02,  2.13247750E-01,  6.83303030E-02, -2.46604740E+03,  4.30967930E+02
 7.64461530E-02,  2.14849200E-01,  6.80822730E-02, -2.65740190E+03,  3.33025600E+02
 7.68912210E-02,  2.16471780E-01,  6.78341240E-02, -2.88929930E+03,  2.03741930E+02
 7.73363490E-02,  2.18099730E-01,  6.75978290E-02, -3.17784450E+03,  2.60544950E+01
 7.77711050E-02,  2.19730350E-01,  6.73610940E-02, -3.48922290E+03, -1.85221340E+02
 7.81936790E-02,  2.21363170E-01,  6.71176760E-02, -3.79104170E+03, -4.39876980E+02
 7.86040200E-02,  2.22997350E-01,  6.68628660E-02, -4.04417650E+03, -7.30360170E+02
 7.90072980E-02,  2.24640700E-01,  6.65926410E-02, -4.19603520E+03, -1.08380020E+03
 7.94132870E-02,  2.26333390E-01,  6.62925170E-02, -4.22274410E+03, -1.49717740E+03
 7.98120570E-02,  2.28023380E-01,  6.59699890E-02, -4.13136770E+03, -1.98543080E+03
 8.02042260E-02,  2.29709540E-01,  6.56204600E-02, -4.06144800E+03, -2.61601950E+03
 8.05890860E-02,  2.31390360E-01,  6.52386550E-02, -4.04515280E+03, -2.89049780E+03
 8.07767960E-02,  2.32215210E-01,  6.50382270E-02, -4.65788920E+03, -2.50423660E+03
 8.08949990E-02,  2.32732770E-01,  6.49082960E-02, -5.64344630E+03, -1.92674650E+03
 8.09681640E-02,  2.33057750E-01,  6.48240450E-02, -6.62667580E+03, -1.49174290E+03
 8.10145590E-02,  2.33261880E-01,  6.47707060E-02, -7.30557810E+03, -1.26095480E+03
 8.10438840E-02,  2.33390140E-01,  6.47370140E-02, -7.68759130E+03, -1.15107920E+03
 8.10623840E-02,  2.33470720E-01,  6.47157800E-02, -7.88549220E+03, -1.09786190E+03
 8.10740370E-02,  2.33521390E-01,  6.47023990E-02, -7.99216460E+03, -1.07179990E+03
 8.10813750E-02,  2.33553230E-01,  6.46939800E-02, -8.05577000E+03, -1.06286740E+03
 8.10859950E-02,  2.33573260E-01,  6.46886830E-02, -8.09586720E+03, -1.06550260E+03
 8.10889010E-02,  2.33585830E-01,  6.46853520E-02, -8.12175440E+03, -1.07403420E+03
 8.10907260E-02,  2.33593750E-01,  6.46832590E-02, -8.13939160E+03, -1.09718020E+03
 8.10918730E-02,  2.33598720E-01,  6.46819400E-02, -8.13560990E+03, -1.16712660E+03
 2.36048640E-02,  1.15319830E-01,  8.62967820E-02,  2.97641050E+02, -8.26816350E+02
 2.36080920E-02,  1.15324510E-01,  8.62968120E-02,  2.97600010E+02, -8.26721070E+02
 2.36132090E-02,  1.15331940E-01,  8.62968560E-02,  2.97552060E+02, -8.26616270E+02
 2.36213230E-02,  1.15343720E-01,  8.62969380E-02,  2.97369380E+02, -8.26357970E+02
 2.36341900E-02,  1.15362390E-01,  8.62970650E-02,  2.96988400E+02, -8.25512210E+02
 2.36546010E-02,  1.15392000E-01,  8.62972660E-02,  2.96437040E+02, -8.23633610E+02
 2.36869790E-02,  1.15438940E-01,  8.62976010E-02,  2.96314880E+02, -8.20694150E+02
 2.37383580E-02,  1.15513350E-01,  8.62981530E-02,  2.94478820E+02, -8.17522710E+02
 2.38199140E-02,  1.15631270E-01,  8.62990920E-02,  2.86070370E+02, -8.14938350E+02
 2.39494610E-02,  1.15818110E-01,  8.63007160E-02,  2.82011200E+02, -8.09741820E+02
 2.41555050E-02,  1.16113950E-01,  8.63035100E-02,  3.05503540E+02, -7.99492000E+02
 2.44850780E-02,  1.16581050E-01,  8.63054540E-02,  3.32550290E+02, -7.76747380E+02
 2.50124880E-02,  1.17318270E-01,  8.63071980E-02,  2.21160680E+02, -7.80861940E+02
 2.60620170E-02,  1.18748470E-01,  8.63025710E-02,  6.44760890E+01, -6.57436100E+02
 2.71323420E-02,  1.20163050E-01,  8.62871040E-02,  8.77342220E+01, -4.52353210E+02
 2.82197520E-02,  1.21564250E-01,  8.62638430E-02,  2.24645480E+02, -3.58095250E+02
 2.93158440E-02,  1.22957970E-01,  8.62520490E-02,  3.36438140E+02, -4.61581050E+02
 3.04197390E-02,  1.24334250E-01,  8.62299280E-02,  3.45562440E+02, -7.04999820E+02
 3.15107330E-02,  1.25718980E-01,  8.61749500E-02,  2.18198240E+02, -9.91590880E+02
 3.26107810E-02,  1.27096070E-01,  8.61096750E-02, -1.06592410E+01, -1.18759580E+03
 3.37176880E-02,  1.28467010E-01,  8.60320180E-02, -2.59735050E+02, -1.20429870E+03
 3.48289010E-02,  1.29834180E-01,  8.59426040E-02, -4.58696200E+02, -1.07230580E+03
 3.59349030E-02,  1.31190690E-01,  8.58409110E-02, -5.70260740E+02, -8.54957580E+02
 3.70312260E-02,  1.32537130E-01,  8.57306270E-02, -5.72144590E+02, -6.16533260E+02
 3.81276230E-02,  1.33884120E-01,  8.56281820E-02, -4.66996920E+02, -4.21755520E+02
 3.92205160E-02,  1.35233820E-01,  8.55240230E-02, -2.84650880E+02, -3.18795260E+02
 4.03067770E-02,  1.36581060E-01,  8.53529130E-02, -6.48832860E+01, -3.34804500E+02
 4.13805170E-02,  1.37929050E-01,  8.51127580E-02,  1.42804790E+02, -4.40449980E+02
 4.24162600E-02,  1.39257760E-01,  8.48545060E-02,  2.95745760E+02, -5.88567810E+02
 4.34313230E-02,  1.40592190E-01,  8.45707510E-02,  3.76101200E+02, -7.33458920E+02
 4.44332580E-02,  1.41941620E-01,  8.43152630E-02,  3.82118620E+02, -8.47851500E+02
 4.54205050E-02,  1.43301040E-01,  8.40548650E-02,  3.28832060E+02, -9.22292660E+02
 4.63856570E-02,  1.44669880E-01,  8.37629360E-02,  2.29901920E+02, -9.68530760E+02
 4.73237040E-02,  1.46044910E-01,  8.34401770E-02,  1.02142930E+02, -9.95754090E+02
 4.82267920E-02,  1.47416670E-01,  8.30930550E-02, -4.25474240E+01, -1.00580840E+03
 4.91026900E-02,  1.48798990E-01,  8.27193260E-02, -1.95351000E+02, -1.00667750E+03
 4.99452130E-02,  1.50189530E-01,  8.23047910E-02, -3.40199770E+02, -9.96742860E+02
 5.07530940E-02,  1.51584240E-01,  8.18396580E-02, -4.69247190E+02, -9.71527890E+02
 5.15364330E-02,  1.52988820E-01,  8.13624190E-02, -5.76970580E+02, -9.41781560E+02
 5.22985870E-02,  1.54398280E-01,  8.08805300E-02, -6.58807010E+02, -9.03830750E+02
 5.30447660E-02,  1.55811220E-01,  8.04015030E-02, -7.26212340E+02, -8.54882930E+02
 5.37851600E-02,  1.57232240E-01,  7.99368470E-02, -7.90997800E+02, -7.97719420E+02
 5.45250660E-02,  1.58660610E-01,  7.94935670E-02, -8.60803100E+02, -7.32090580E+02
 5.52653150E-02,  1.60096050E-01,  7.90743530E-02, -9.37821040E+02, -6.59921330E+02
 5.60054930E-02,  1.61537980E-01,  7.86777880E-02, -1.02227340E+03, -5.80705320E+02
 5.67340810E-02,  1.62977020E-01,  7.82954540E-02, -1.10989260E+03, -4.92647980E+02
 5.74485850E-02,  1.64418560E-01,  7.79193040E-02, -1.19390990E+03, -3.97666660E+02
 5.81534840E-02,  1.65867780E-01,  7.75546510E-02, -1.27347270E+03, -2.99272920E+02
 5.88462690E-02,  1.67324650E-01,  7.71973130E-02, -1.35267260E+03, -1.99487640E+02
 5.95246180E-02,  1.68790370E-01,  7.68484470E-02, -1.43026880E+03, -1.02165180E+02
 6.02003000E-02,  1.70262840E-01,  7.65228570E-02, -1.51066410E+03, -8.94602010E+00
 6.08624410E-02,  1.71740350E-01,  7.61971400E-02, -1.59843240E+03,  7.71561740E+01
 6.15117510E-02,  1.73223030E-01,  7.58707520E-02, -1.69288600E+03,  1.56617490E+02
 6.21480270E-02,  1.74710900E-01,  7.55423080E-02, -1.78541770E+03,  2.27620450E+02
 6.27714540E-02,  1.76203640E-01,  7.52116140E-02, -1.86934670E+03,  2.87547970E+02
 6.33701680E-02,  1.77700980E-01,  7.48570780E-02, -1.94092810E+03,  3.36250980E+02
 6.39594570E-02,  1.79201960E-01,  7.45016780E-02, -2.00508730E+03,  3.79033940E+02
 6.45416080E-02,  1.80716870E-01,  7.41435890E-02, -2.05688280E+03,  4.16903290E+02
 6.51149380E-02,  1.82235900E-01,  7.37864380E-02, -2.09000980E+03,  4.48281100E+02
 6.56814430E-02,  1.83758070E-01,  7.34318570E-02, -2.10127880E+03,  4.76485660E+02
 6.62434030E-02,  1.85282890E-01,  7.30814340E-02, -2.09239580E+03,  5.07346010E+02
 6.68002440E-02,  1.86810960E-01,  7.27369930E-02, -2.06574340E+03,  5.46710390E+02
 6.73542320E-02,  1.88342850E-01,  7.24027010E-02, -2.02570680E+03,  5.93481570E+02
 6.79077430E-02,  1.89878570E-01,  7.20764400E-02, -1.97861330E+03,  6.51804630E+02
 6.84601370E-02,  1.91416760E-01,  7.17600210E-02, -1.93484290E+03,  7.23144710E+02
 6.90118220E-02,  1.92957580E-01,  7.14554340E-02, -1.89570630E+03,  7.93359860E+02
 6.95618470E-02,  1.94501410E-01,  7.11632000E-02, -1.86097890E+03,  8.50693660E+02
 7.01119900E-02,  1.96047800E-01,  7.08847790E-02, -1.82369620E+03,  8.92983460E+02
 7.06607920E-02,  1.97596790E-01,  7.06160740E-02, -1.78677430E+03,  9.17670290E+02
 7.12070840E-02,  1.99149410E-01,  7.03595430E-02, -1.76208590E+03,  9.13320190E+02
 7.17498440E-02,  2.00704840E-01,  7.01126230E-02, -1.76088880E+03,  8.80934630E+02
 7.22883570E-02,  2.02262830E-01,  6.98727070E-02, -1.78200490E+03,  8.34278320E+02
 7.28219600E-02,  2.03823180E-01,  6.96371790E-02, -1.82118660E+03,  7.80596250E+02
 7.33504520E-02,  2.05385520E-01,  6.94033500E-02, -1.87428300E+03,  7.23743650E+02
 7.38770510E-02,  2.06958770E-01,  6.91671820E-02, -1.94071610E+03,  6.70824400E+02
 7.43745190E-02,  2.08547320E-01,  6.89081400E-02, -2.03145240E+03,  6.06826540E+02
 7.48573170E-02,  2.10140150E-01,  6.86458200E-02, -2.15609960E+03,  5.33339840E+02
 7.53293860E-02,  2.11736600E-01,  6.83858990E-02, -2.30128440E+03,  4.59637150E+02
 7.57891160E-02,  2.13337140E-01,  6.81289510E-02, -2.47286600E+03,  3.73001100E+02
 7.62347950E-02,  2.14942160E-01,  6.78751690E-02, -2.68365380E+03,  2.55386730E+02
 7.66719210E-02,  2.16567050E-01,  6.76206800E-02, -2.94324630E+03,  1.02418910E+02
 7.71164300E-02,  2.18196260E-01,  6.73843850E-02, -3.26147070E+03, -9.60981450E+01
 7.75524970E-02,  2.19827890E-01,  6.71492820E-02, -3.61242870E+03, -3.30544220E+02
 7.79763980E-02,  2.21461730E-01,  6.69075330E-02, -3.96337600E+03, -5.98363160E+02
 7.83880430E-02,  2.23096980E-01,  6.66543840E-02, -4.26656050E+03, -8.86095210E+02
 7.87925940E-02,  2.24741190E-01,  6.63858800E-02, -4.45905180E+03, -1.21148400E+03
 7.92001710E-02,  2.26434220E-01,  6.60874170E-02, -4.51213130E+03, -1.59410960E+03
 7.96009300E-02,  2.28124440E-01,  6.57669830E-02, -4.46869290E+03, -2.06539970E+03
 7.99950510E-02,  2.29810890E-01,  6.54195990E-02, -4.45519780E+03, -2.57082370E+03
 8.03819080E-02,  2.31492060E-01,  6.50400370E-02, -4.55683010E+03, -2.71213770E+03
 8.05706010E-02,  2.32317120E-01,  6.48407410E-02, -5.08762400E+03, -2.28770950E+03
 8.06893780E-02,  2.32834820E-01,  6.47114960E-02, -5.94822120E+03, -1.67230690E+03
 8.07629380E-02,  2.33159900E-01,  6.46277220E-02, -6.72923340E+03, -1.24476110E+03
 8.08095560E-02,  2.33364080E-01,  6.45746590E-02, -7.21919430E+03, -1.03225480E+03
 8.08390160E-02,  2.33492370E-01,  6.45411390E-02, -7.48687790E+03, -9.32126340E+02
 8.08575970E-02,  2.33572990E-01,  6.45200010E-02, -7.64121040E+03, -8.83788570E+02
 8.08693020E-02,  2.33623670E-01,  6.45066800E-02, -7.73292090E+03, -8.62547360E+02
 8.08766710E-02,  2.33655510E-01,  6.44983050E-02, -7.78212350E+03, -8.58652100E+02
 8.08813050E-02,  2.33675540E-01,  6.44930300E-02, -7.80314400E+03, -8.64231080E+02
 8.08842180E-02,  2.33688130E-01,  6.44897150E-02, -7.81162400E+03, -8.73092650E+02
 8.08860510E-02,  2.33696040E-01,  6.44876290E-02, -7.81090140E+03, -8.90719120E+02
 8.08872060E-02,  2.33701010E-01,  6.44863170E-02, -7.77628710E+03, -9.59089420E+02
 2.37055570E-02,  1.15273270E-01,  8.60992000E-02,  2.73138850E+02, -7.75076600E+02
 2.37087760E-02,  1.15277950E-01,  8.60992070E-02,  2.73089690E+02, -7.74978150E+02
 2.37138740E-02,  1.15285370E-01,  8.60992150E-02,  2.73038670E+02, -7.74862850E+02
 2.37219610E-02,  1.15297150E-01,  8.60992370E-02,  2.72893800E+02, -7.74588560E+02
 2.37347870E-02,  1.15315810E-01,  8.60992600E-02,  2.72543300E+02, -7.73693970E+02
 2.37551290E-02,  1.15345400E-01,  8.60993120E-02,  2.72110900E+02, -7.71875980E+02
 2.37874020E-02,  1.15392310E-01,  8.60994010E-02,  2.72239690E+02, -7.69062130E+02
 2.38386110E-02,  1.15466680E-01,  8.60995580E-02,  2.70906800E+02, -7.65979370E+02
 2.39198990E-02,  1.15584540E-01,  8.60998780E-02,  2.63615690E+02, -7.63215090E+02
 2.40490160E-02,  1.15771290E-01,  8.61005190E-02,  2.60729370E+02, -7.57389400E+02
 2.42543720E-02,  1.16066980E-01,  8.61017410E-02,  2.83782840E+02, -7.47431270E+02
 2.45828140E-02,  1.16533870E-01,  8.61011970E-02,  3.08862880E+02, -7.27788270E+02
 2.51083770E-02,  1.17270820E-01,  8.60989540E-02,  2.04193510E+02, -7.34037660E+02
 2.61540390E-02,  1.18700660E-01,  8.60864740E-02,  7.47267460E+01, -6.15286440E+02
 2.72202040E-02,  1.20115110E-01,  8.60630420E-02,  1.18001420E+02, -4.19319090E+02
 2.83029510E-02,  1.21516670E-01,  8.60325770E-02,  2.61298280E+02, -3.34085600E+02
 2.93927790E-02,  1.22912650E-01,  8.60194270E-02,  3.70741700E+02, -4.42302400E+02
 3.04901690E-02,  1.24290870E-01,  8.59959800E-02,  3.71322050E+02, -6.91245540E+02
 3.15739880E-02,  1.25677880E-01,  8.59405320E-02,  2.35557430E+02, -9.87763240E+02
 3.26668960E-02,  1.27057300E-01,  8.58748410E-02,  4.74823000E+00, -1.18904970E+03
 3.37667020E-02,  1.28430580E-01,  8.57968110E-02, -2.40972200E+02, -1.20762670E+03
 3.48706950E-02,  1.29800040E-01,  8.57075380E-02, -4.33018740E+02, -1.08224930E+03
 3.59698420E-02,  1.31159220E-01,  8.56063810E-02, -5.38564700E+02, -8.74135380E+02
 3.70594340E-02,  1.32508220E-01,  8.54966860E-02, -5.36622010E+02, -6.45053340E+02
 3.81491520E-02,  1.33857770E-01,  8.53956420E-02, -4.29781620E+02, -4.57096980E+02
 3.92354090E-02,  1.35209990E-01,  8.52932180E-02, -2.48283020E+02, -3.55070070E+02
 4.03149500E-02,  1.36559310E-01,  8.51205660E-02, -2.83835910E+01, -3.65342740E+02
 4.13816160E-02,  1.37909010E-01,  8.48757180E-02,  1.80595600E+02, -4.59840000E+02
 4.24109360E-02,  1.39240470E-01,  8.46127270E-02,  3.33404360E+02, -5.95344670E+02
 4.34188360E-02,  1.40577110E-01,  8.43244420E-02,  4.11157470E+02, -7.27607600E+02
 4.44143820E-02,  1.41929220E-01,  8.40697060E-02,  4.12670410E+02, -8.31284850E+02
 4.53961310E-02,  1.43291250E-01,  8.38128700E-02,  3.53373900E+02, -8.96633850E+02
 4.63558880E-02,  1.44662600E-01,  8.35245400E-02,  2.47802800E+02, -9.34674010E+02
 4.72891220E-02,  1.46040650E-01,  8.32057300E-02,  1.13733760E+02, -9.55651120E+02
 4.81878300E-02,  1.47415650E-01,  8.28627050E-02, -3.65839540E+01, -9.62615230E+02
 4.90594770E-02,  1.48801120E-01,  8.24930740E-02, -1.92967040E+02, -9.63242190E+02
 4.98966870E-02,  1.50194320E-01,  8.20784350E-02, -3.39314820E+02, -9.53652280E+02
 5.06973830E-02,  1.51590650E-01,  8.16053970E-02, -4.68086550E+02, -9.28789370E+02
 5.14732340E-02,  1.52996930E-01,  8.11205430E-02, -5.74591740E+02, -9.01282840E+02
 5.22277240E-02,  1.54408440E-01,  8.06312190E-02, -6.54247440E+02, -8.66815730E+02
 5.29658760E-02,  1.55823410E-01,  8.01450090E-02, -7.19913330E+02, -8.21517880E+02
 5.37003350E-02,  1.57247080E-01,  7.96790720E-02, -7.83889340E+02, -7.68307980E+02
 5.44363860E-02,  1.58678460E-01,  7.92395920E-02, -8.53800840E+02, -7.06574650E+02
 5.51730880E-02,  1.60116700E-01,  7.88243190E-02, -9.31286930E+02, -6.37911070E+02
 5.59098050E-02,  1.61561330E-01,  7.84317180E-02, -1.01635130E+03, -5.61771180E+02
 5.66329990E-02,  1.63003710E-01,  7.80481030E-02, -1.10356730E+03, -4.76173680E+02
 5.73385210E-02,  1.64448510E-01,  7.76638310E-02, -1.18684190E+03, -3.82627470E+02
 5.80342080E-02,  1.65901110E-01,  7.72911980E-02, -1.26626860E+03, -2.85160370E+02
