[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 23585
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1679.99817 [s^-1 rad]
Frequency          = 534.760010 [Hz]
Engine Order       = 2

[Spatial Fields]
x, y, z

[Data]
x [ m ], y [ m ], z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-3.03516580E-03,  1.92781020E-01,  1.41595610E-02, -6.50716190E+02,  4.86346920E+02
-2.96124230E-03,  1.94743770E-01,  1.44520970E-02, -6.05296080E+02,  4.94660000E+02
-2.88271790E-03,  1.96706560E-01,  1.47431450E-02, -5.47518070E+02,  4.76582340E+02
-2.79827630E-03,  1.98665620E-01,  1.50339400E-02, -5.25843380E+02,  4.22181820E+02
-2.70699080E-03,  2.00615260E-01,  1.53257200E-02, -5.07197570E+02,  3.10014890E+02
-2.60668550E-03,  2.02563880E-01,  1.56214840E-02, -5.33115970E+02,  2.24003800E+02
-2.49572380E-03,  2.04511030E-01,  1.59230270E-02, -4.98684080E+02,  1.58067990E+02
-2.37200760E-03,  2.06456270E-01,  1.62318160E-02, -4.84436490E+02,  6.53897550E+01
-2.23566640E-03,  2.08399280E-01,  1.65493190E-02, -4.76144740E+02,  3.34975890E+01
-2.08657120E-03,  2.10337880E-01,  1.68734270E-02, -4.59416020E+02,  2.53160210E+01
-1.92745800E-03,  2.12271750E-01,  1.72030200E-02, -4.13255280E+02,  1.11524730E+01
-1.75685920E-03,  2.14204100E-01,  1.75359400E-02, -4.12607760E+02,  6.00082440E+01
-1.57534770E-03,  2.16135170E-01,  1.78704210E-02, -4.11220400E+02,  1.16193840E+02
-1.38347420E-03,  2.18065280E-01,  1.82047520E-02, -3.86795290E+02,  6.70915910E+01
-1.18199980E-03,  2.19994680E-01,  1.85374450E-02, -4.19776430E+02,  1.02600520E+02
-9.73878540E-04,  2.21914380E-01,  1.88660120E-02, -4.21523070E+02,  1.50633220E+02
-7.61505100E-04,  2.23827470E-01,  1.91905140E-02, -3.72017700E+02,  1.68443100E+02
-5.46714870E-04,  2.25740850E-01,  1.95116850E-02, -3.55649660E+02,  1.38769960E+02
-3.32031110E-04,  2.27654860E-01,  1.98291280E-02, -2.70039890E+02,  1.03125700E+02
-1.20099100E-04,  2.29569870E-01,  2.01424620E-02, -1.18103500E+02,  4.05979540E+01
 8.67663770E-05,  2.31486140E-01,  2.04513450E-02,  1.75692140E+01,  1.49668340E+01
 2.84480750E-04,  2.33388130E-01,  2.07535070E-02,  7.48380740E+01,  2.98315830E+01
 4.73537950E-04,  2.35284180E-01,  2.10504640E-02,  1.46779910E+02,  8.47788090E+01
 6.60765680E-04,  2.37181110E-01,  2.13429610E-02,  3.01870940E+02,  1.60213810E+02
 8.39483690E-04,  2.39079210E-01,  2.16332490E-02,  3.94775270E+02,  2.57090820E+02
 1.00782420E-03,  2.40978430E-01,  2.19222660E-02,  3.47129730E+02,  3.39592930E+02
 1.16318070E-03,  2.42878870E-01,  2.22106610E-02,  2.84710270E+02,  4.64936680E+02
 1.30451720E-03,  2.44770300E-01,  2.24940500E-02,  1.92720570E+02,  5.17835630E+02
 1.42970770E-03,  2.46658520E-01,  2.27759850E-02,  9.71669010E+00,  5.05221800E+02
 1.53972940E-03,  2.48547610E-01,  2.30584050E-02, -3.13913390E+02,  3.76395900E+02
 1.63497460E-03,  2.50437320E-01,  2.33421610E-02, -7.72350890E+02,  1.06474670E+02
 1.71337200E-03,  2.52327530E-01,  2.36275420E-02, -1.38879600E+03, -5.47252260E+02
 1.74597520E-03,  2.53258110E-01,  2.37688960E-02, -1.76768600E+03, -9.29374270E+02
 1.76480610E-03,  2.53843130E-01,  2.38582310E-02, -2.11558840E+03, -1.35659850E+03
 1.77521240E-03,  2.54210980E-01,  2.39143300E-02, -2.35940750E+03, -1.48960460E+03
 1.78170220E-03,  2.54442210E-01,  2.39497480E-02, -2.45870390E+03, -1.56040030E+03
 1.78576050E-03,  2.54587590E-01,  2.39720770E-02, -2.49278780E+03, -1.55218540E+03
 1.78830280E-03,  2.54678960E-01,  2.39861400E-02, -1.94352660E+03, -1.28230410E+03
 1.78989720E-03,  2.54736420E-01,  2.39949900E-02, -1.27471260E+03, -8.21045720E+02
 1.79089800E-03,  2.54772510E-01,  2.40005570E-02, -3.31614070E+02, -2.44108610E+02
 1.79152690E-03,  2.54795220E-01,  2.40040590E-02,  9.97812620E+02,  7.00455020E+02
 1.79192190E-03,  2.54809500E-01,  2.40062610E-02,  1.65787880E+03,  9.60556580E+02
 1.79217010E-03,  2.54818470E-01,  2.40076450E-02,  1.07835080E+03,  2.85983800E+02
 1.79232460E-03,  2.54824130E-01,  2.40085160E-02,  1.36047750E+03,  5.10380740E+02
 1.89045950E-04,  9.57318470E-02, -2.69626120E-04, -8.76721440E+02,  1.97930920E+02
 1.88946800E-04,  9.57386050E-02, -2.69048290E-04, -8.82506710E+02,  2.05086810E+02
 1.88789340E-04,  9.57493340E-02, -2.68131410E-04, -8.95713620E+02,  2.22560100E+02
 1.88538940E-04,  9.57663280E-02, -2.66677380E-04, -9.29833310E+02,  2.38748030E+02
 1.88140020E-04,  9.57932920E-02, -2.64371480E-04, -9.93728700E+02,  2.39484540E+02
 1.87502910E-04,  9.58360430E-02, -2.60714470E-04, -8.95049320E+02,  3.56775540E+02
 1.86481190E-04,  9.59038360E-02, -2.54914280E-04, -8.29387940E+02,  5.92421570E+02
 1.84832340E-04,  9.60113260E-02, -2.45713690E-04, -1.03966500E+03,  7.15601140E+02
 1.82146060E-04,  9.61817800E-02, -2.31116360E-04, -1.35558340E+03,  8.71889340E+02
 1.77707970E-04,  9.64520570E-02, -2.07949560E-04, -1.59947290E+03,  1.09058750E+03
 1.70240790E-04,  9.68806150E-02, -1.71065050E-04, -1.64894250E+03,  1.31297180E+03
 1.57577330E-04,  9.75599440E-02, -1.10167340E-04, -1.66790580E+03,  1.53895460E+03
 1.35174200E-04,  9.86368280E-02, -1.08495660E-05, -1.64054080E+03,  1.61231070E+03
 8.40348730E-05,  1.00743120E-01,  1.95128760E-04, -1.63137720E+03,  1.61606750E+03
 2.45507440E-05,  1.02847690E-01,  4.15994200E-04, -1.59165490E+03,  1.58825900E+03
-4.18469030E-05,  1.04950630E-01,  6.49972640E-04, -1.54544530E+03,  1.56148160E+03
-1.14322250E-04,  1.07052830E-01,  8.88795420E-04, -1.48118900E+03,  1.51719580E+03
-1.82311810E-04,  1.09161600E-01,  1.14426140E-03, -1.43975940E+03,  1.50212280E+03
-2.44071500E-04,  1.11269010E-01,  1.41689840E-03, -1.42205430E+03,  1.52713540E+03
-3.06244820E-04,  1.13374930E-01,  1.70073900E-03, -1.39574460E+03,  1.55436540E+03
-3.66957070E-04,  1.15479180E-01,  1.99693050E-03, -1.36658920E+03,  1.58842130E+03
-4.24765400E-04,  1.17582020E-01,  2.30354050E-03, -1.32647910E+03,  1.62477200E+03
-4.77784690E-04,  1.19684120E-01,  2.62145350E-03, -1.28462430E+03,  1.65293410E+03
-5.32701260E-04,  1.21785860E-01,  2.94618290E-03, -1.21767570E+03,  1.66399230E+03
-5.86992650E-04,  1.23886360E-01,  3.27894440E-03, -1.13503890E+03,  1.66165090E+03
-6.39940900E-04,  1.25985710E-01,  3.61912020E-03, -1.06371580E+03,  1.65647750E+03
-6.92772450E-04,  1.28082350E-01,  3.97546920E-03, -9.89720640E+02,  1.67974730E+03
-7.48475840E-04,  1.30174990E-01,  4.34648900E-03, -9.16151370E+02,  1.72298330E+03
-8.12061010E-04,  1.32254230E-01,  4.72058870E-03, -8.50704830E+02,  1.78299220E+03
-8.76510570E-04,  1.34332330E-01,  5.10078580E-03, -7.61281490E+02,  1.79676980E+03
-9.60534670E-04,  1.36412960E-01,  5.46242110E-03, -6.84369750E+02,  1.85255260E+03
-1.06499130E-03,  1.38494450E-01,  5.81416120E-03, -5.67664180E+02,  1.90533040E+03
-1.18756550E-03,  1.40575650E-01,  6.16168370E-03, -4.58607670E+02,  1.95286830E+03
-1.32664040E-03,  1.42634390E-01,  6.50089140E-03, -3.26194400E+02,  2.01757930E+03
-1.48293730E-03,  1.44681040E-01,  6.83099360E-03, -1.97633450E+02,  2.07610160E+03
-1.66354470E-03,  1.46727760E-01,  7.14801020E-03, -2.62426760E+01,  2.16912990E+03
-1.85839330E-03,  1.48774520E-01,  7.45625140E-03,  1.66550110E+02,  2.25921610E+03
-2.06133820E-03,  1.50821130E-01,  7.76012890E-03,  3.80102450E+02,  2.35793410E+03
-2.26814000E-03,  1.52865070E-01,  8.06043110E-03,  6.03596980E+02,  2.43003300E+03
-2.47223190E-03,  1.54886070E-01,  8.35715510E-03,  8.14331480E+02,  2.51269120E+03
-2.67159750E-03,  1.56907160E-01,  8.65638910E-03,  1.04000820E+03,  2.56242800E+03
-2.85612300E-03,  1.58929330E-01,  8.95791690E-03,  1.21629490E+03,  2.64831930E+03
-3.02714950E-03,  1.60952060E-01,  9.26360300E-03,  1.43070540E+03,  2.68492820E+03
-3.18162190E-03,  1.62975070E-01,  9.57603750E-03,  1.49554820E+03,  2.67127730E+03
-3.31528900E-03,  1.64990470E-01,  9.89420150E-03,  1.57754820E+03,  2.52177510E+03
-3.42423860E-03,  1.66997670E-01,  1.02202080E-02,  1.62797520E+03,  2.38334280E+03
-3.50535130E-03,  1.69004500E-01,  1.05563770E-02,  1.70629050E+03,  2.26895310E+03
-3.55953210E-03,  1.71011330E-01,  1.08980460E-02,  1.75661690E+03,  2.17815010E+03
-3.58661640E-03,  1.73017980E-01,  1.12439380E-02,  1.78876760E+03,  2.04803000E+03
-3.58985040E-03,  1.75024450E-01,  1.15919240E-02,  1.77838020E+03,  1.83846040E+03
-3.57336880E-03,  1.77010160E-01,  1.19384380E-02,  1.86466880E+03,  1.68488920E+03
-3.54258760E-03,  1.78992450E-01,  1.22802330E-02,  1.89184850E+03,  1.50838650E+03
-3.50164740E-03,  1.80975620E-01,  1.26158690E-02,  1.86499540E+03,  1.32849050E+03
-3.45373670E-03,  1.82960110E-01,  1.29425530E-02,  1.83884590E+03,  1.16701270E+03
-3.40084240E-03,  1.84945730E-01,  1.32613990E-02,  1.79908080E+03,  1.02146620E+03
-3.34477890E-03,  1.86929850E-01,  1.35693180E-02,  1.74355140E+03,  9.09026610E+02
-3.28557430E-03,  1.88889620E-01,  1.38678220E-02,  1.69447660E+03,  8.24781370E+02
-3.22260920E-03,  1.90849940E-01,  1.41618690E-02,  1.64291280E+03,  7.67123900E+02
-3.15590230E-03,  1.92810680E-01,  1.44523640E-02,  1.57766640E+03,  7.24655580E+02
-3.08530060E-03,  1.94771680E-01,  1.47400610E-02,  1.51752690E+03,  6.98243900E+02
-3.01006970E-03,  1.96732760E-01,  1.50261200E-02,  1.43790750E+03,  6.71607420E+02
-2.92898530E-03,  1.98690010E-01,  1.53116680E-02,  1.37084010E+03,  6.65705320E+02
-2.84048570E-03,  2.00638090E-01,  1.55995400E-02,  1.30474880E+03,  6.26108830E+02
-2.74285950E-03,  2.02585180E-01,  1.58911380E-02,  1.24359660E+03,  5.65946290E+02
-2.63457860E-03,  2.04530890E-01,  1.61880160E-02,  1.11222830E+03,  4.46731080E+02
-2.51407690E-03,  2.06474660E-01,  1.64928450E-02,  9.97946410E+02,  3.60273190E+02
-2.38021350E-03,  2.08416360E-01,  1.68051660E-02,  7.87951660E+02,  2.43691570E+02
-2.23378120E-03,  2.10353700E-01,  1.71250270E-02,  6.18622560E+02,  2.03449630E+02
-2.07535530E-03,  2.12286310E-01,  1.74515560E-02,  4.42792760E+02,  1.00945110E+02
-1.90550550E-03,  2.14217420E-01,  1.77811910E-02,  2.70795900E+02,  5.96286660E+01
-1.72477580E-03,  2.16147290E-01,  1.81123300E-02,  1.20929810E+02,  1.26480180E+02
-1.53370970E-03,  2.18076230E-01,  1.84431230E-02, -1.70414120E+01,  4.22876010E+01
-1.33302180E-03,  2.20004480E-01,  1.87721080E-02, -8.42496030E+01,  5.12068980E+01
-1.12582180E-03,  2.21922620E-01,  1.90967690E-02, -2.95966980E+02,  8.54671480E+01
-9.14507660E-04,  2.23834110E-01,  1.94173180E-02, -3.34899230E+02,  1.33127010E+02
-7.00869660E-04,  2.25745690E-01,  1.97357330E-02, -4.02905120E+02,  1.38904140E+02
-4.87542510E-04,  2.27657940E-01,  2.00503210E-02, -4.41371890E+02,  1.87485820E+02
-2.77049690E-04,  2.29571150E-01,  2.03609710E-02, -3.84543850E+02,  1.58203840E+02
-7.21018000E-05,  2.31485660E-01,  2.06672180E-02, -3.46898160E+02,  1.32052550E+02
 1.23537350E-04,  2.33386280E-01,  2.09658590E-02, -2.53900270E+02,  1.68810940E+02
 3.10203960E-04,  2.35281170E-01,  2.12597050E-02, -2.02354770E+02,  2.18519000E+01
