Iteration,total-to-static-pressure
1,125
2,125
3,125
4,125
5,125
6,125
7,125
8,125
9,125
10,124.481644482334
11,116.1151621399924
12,103.1387941426821
13,86.12672674280078
14,65.99860248281895
15,44.63391365712408
16,25.36997835819003
17,7.220692181503542
18,-8.367253466365291
19,-19.60378833450601
20,-19.60762914596776
21,-10.60775140352881
22,-13.15002652624659
23,-17.96232519554069
24,-28.07438091294583
25,-71.78670828937601
26,-77.53840713009281
27,-197.0819205889308
28,-301.8207839119747
29,-350.3044282534718
30,-387.8685525288221
31,-432.1811907224068
32,-457.0133967022693
33,-404.8538657099339
34,-377.7512146671844
35,-355.2661196151665
36,-324.9244644450678
37,-282.2199393741982
38,-243.7191770907853
39,-207.6126629445698
40,-175.2887897764151
41,-140.8164977782774
42,-114.9823232096336
43,-94.73920735164539
44,-74.94808093507579
45,-57.12965256624508
46,-42.78351073957128
47,-29.21821540415208
48,-15.70331156631121
49,-4.373207462119117
50,5.861616645166688
51,16.49229460323558
52,24.30364669052419
53,31.7054506348935
54,39.90674203167994
55,47.42046170386605
56,54.88436430231152
57,62.56291851304752
58,69.73110064986233
59,76.9788280764835
60,83.71124204702495
61,90.29433193961734
62,96.03825304275695
63,101.9292778518432
64,107.0080262760955
65,110.3838767012934
66,112.923639227177
67,114.7892255740849
68,115.9166603345893
69,116.7296290368515
70,117.7529742237846
71,118.378831351252
72,118.9876744664689
73,119.4262800960608
74,119.6408714557646
75,119.9169677619067
76,120.0032260295442
77,120.05030992775
78,120.3644187179225
79,120.4657100970897
80,120.6558663196246
81,120.8249320035508
82,120.898437184359
83,121.1301921349563
84,121.1883972142494
85,121.3149992554045
86,121.4292937514064
87,121.4682434477614
88,121.5343838351839
89,121.674273321372
90,121.886245574984
91,122.0125335800018
92,122.0334032502926
93,122.1973100917598
94,122.3900594014344
95,122.5280821470893
96,122.602720159298
97,122.7943283422004
98,122.9191771762948
99,123.0648242430687
100,123.208687569929
101,123.3488213256258
102,123.5294158883873
103,123.6216769860706
104,123.7312617168097
105,123.855757057892
106,123.9664160736098
107,124.0595265335655
108,124.1562572050999
109,124.2300959395305
110,124.3018010173646
111,124.3652329592666
112,124.4220468433777
113,124.4735320636901
114,124.5489946694077
115,124.5856182481893
116,124.6230456536648
117,124.653174321078
118,124.6850712365039
119,124.7022810148462
120,124.712244936461
121,124.731441774949
122,124.7488654780333
123,124.7679523537759
124,124.784829692889
125,124.7969638417811
126,124.813812518702
127,124.8247928264813
128,124.8382065676024
129,124.8485378473381
130,124.8587709257869
131,124.8696310516532
132,124.8773140245699
133,124.8850101738238
134,124.8932021677172
135,124.900439475677
136,124.9076425773203
137,124.9148808310838
138,124.9217767633416
139,124.9284709406305
140,124.9358845702365
141,124.9429419193689
142,124.950159735758
143,124.9578983177673
144,124.9619432462581
145,124.9660922444426
146,124.9691265174825
147,124.9708089686689
148,124.9730669889427
149,124.973801277424
150,124.9752807238648
151,124.9763128305086
152,124.9771396890658
153,124.976393953014
154,124.9750766983658
155,124.9730973004408
156,124.9707741906665
157,124.9683569751188
158,124.966155916443
159,124.9630903627409
160,124.9588781239342
161,124.9536068732225
162,124.9477212350343
163,124.9420000333438
164,124.9361682995074
165,124.9294494201039
166,124.9235011869497
167,124.9178212896846
168,124.9131395179532
169,124.9090233687301
170,124.9065952677709
171,124.9050227509611
172,124.9052934285799
173,124.9062545710156
174,124.9081673842374
175,124.9118080013229
176,124.9158269253714
177,124.9203061034267
178,124.9252429867015
179,124.9302307015185
180,124.9354392543322
181,124.9403808865525
182,124.9450007318027
183,124.9492701649811
184,124.9527019681054
185,124.9556097307082
186,124.9580380748416
187,124.9599723530351
188,124.9614218899883
189,124.9626200971379
190,124.9630925632786
191,124.9635367501868
192,124.9636690759918
193,124.9636066862261
194,124.9632829244442
195,124.9627744636573
196,124.9620696087682
197,124.9612939272192
198,124.9604092426091
199,124.95951517968
200,124.9586707428303
201,124.9580038766934
202,124.9573156755721
203,124.9567606061891
204,124.9563425170787
205,124.9559466719436
206,124.9554798813739
207,124.9551652959341
208,124.9551094283108
209,124.9549518928179
210,124.9548739315121
211,124.9549922726315
212,124.9548245953571
213,124.9548588918924
214,124.9546728905993
215,124.9545857253577
216,124.9544987173789
217,124.9546059813675
218,124.9545980193139
219,124.9546073829762
220,124.9548093560766
221,124.9547979529623
222,124.9547628945184
223,124.9548110921081
224,124.9547901349924
225,124.9547625179059
226,124.954718228086
227,124.9545664287791
228,124.954473825444
229,124.9544468528793
230,124.9544785076727
231,124.95457269079
232,124.9545961326706
233,124.9545759777061
234,124.9543672842989
235,124.9542486746407
236,124.9542011011099
237,124.9541552720743
238,124.9540968410666
239,124.9541634071859
240,124.9539863817548
241,124.9541058972773
242,124.9540556340492
243,124.9540338858237
244,124.9539328395765
245,124.9539955606683
246,124.953865705291
247,124.9539950717358
248,124.9538256928535
249,124.9537231364271
250,124.9536573146715
251,124.953602438874
252,124.9535428367784
253,124.953588767961
254,124.9535069295681
255,124.9536618153305
256,124.9535287307277
257,124.9534862871911
258,124.9535045669402
259,124.9536911272467
260,124.9536695795161
261,124.9537351719335
262,124.9538502153351
263,124.9540453981278
264,124.954114792402
265,124.9541712671836
266,124.9543047020286
267,124.9542714205273
268,124.9542422074614
269,124.9543720418554
270,124.9544755208554
271,124.9543861634984
272,124.9542353646927
273,124.9542409240237
274,124.9541882806685
275,124.9541280549124
276,124.9542198014728
277,124.9541475340069
278,124.9540772869854
279,124.9540071381648
280,124.9539356627399
281,124.9538991676126
282,124.9538517113735
283,124.9537728987037
284,124.95369125568
285,124.953727872177
286,124.9536207184707
287,124.9537581362475
288,124.9536952706538
289,124.9537637567442
290,124.953819609201
291,124.9538130102414
292,124.953703096492
293,124.9537417450668
294,124.9538809910684
295,124.9538450226752
296,124.9538504015552
297,124.9537429905014
298,124.9537875374378
299,124.9537497329593
300,124.9536040595088
301,124.9535562911853
302,124.9534980514306
303,124.9534802980892
304,124.9534796271468
305,124.9534799219327
306,124.953477129164
307,124.9534717693254
308,124.9534661256799
309,124.9534620138993
310,124.9534590771067
311,124.9534617991913
312,124.9534673946576
313,124.953477666543
314,124.9534862831894
315,124.9534945944581
316,124.9535047488345
317,124.9535144156262
318,124.9535266279344
319,124.9535423507267
320,124.9535606110121
321,124.9535820722971
322,124.9536062688233
323,124.9536317535019
324,124.9536578064239
325,124.9536859382114
326,124.9538782455701
327,124.9538288094923
328,124.9537869557153
329,124.9538020699193
330,124.9538264246233
331,124.9539944138656
332,124.9539222102797
333,124.9538659962782
334,124.9537870877323
335,124.9537350973199
336,124.9538703273886
337,124.953770822564
338,124.9539245891058
339,124.9538987977337
340,124.9538459532286
341,124.9540293852275
342,124.9539644657081
343,124.9540748880727
344,124.9541292181971
345,124.9541186264115
346,124.9540785187416
347,124.9540565077293
348,124.9541790429969
349,124.9541633323035
350,124.9542671163257
351,124.9542406539312
352,124.954209419789
353,124.9541741854487
354,124.9541349258176
355,124.9540914511634
356,124.9540474293047
357,124.9540059214741
358,124.9539675007638
359,124.9539338890839
360,124.9539069587047
361,124.9538887533101
362,124.9538782932725
363,124.9538746681145
364,124.953853427766
365,124.9541114006976
366,124.9540152163928
367,124.9539973702907
368,124.9540261180507
369,124.9540688870104
370,124.9541011777293
371,124.954115034576
372,124.9543199390315
373,124.9542259827468
374,124.9541770465335
375,124.9541547082684
376,124.9543402664141
377,124.954337711657
378,124.9543359097467
379,124.954338655945
380,124.9543462261703
381,124.9543610856362
382,124.9543807522262
383,124.9544026914774
384,124.9545424418345
385,124.954516077081
386,124.9545287795863
387,124.9545572579527
388,124.9545849621569
389,124.9547201025404
390,124.9546900306945
391,124.9547691786828
392,124.9547890759041
393,124.9548138484554
394,124.9548432487217
395,124.9548802251138
396,124.9549273528508
397,124.9549812810474
398,124.9550413560185
399,124.9551063233249
400,124.9551729658583
401,124.9552376687438
402,124.9553005236984
403,124.9553591837065
404,124.955413588722
405,124.955465119494
406,124.9555115614092
407,124.9555528764379
408,124.9555898123938
409,124.9556218162535
410,124.9556507338029
411,124.9556786499672
412,124.9557123847877
413,124.9557501316968
414,124.9557969679814
415,124.9558501818449
416,124.9559067687479
417,124.955967410777
418,124.9560307054072
419,124.9560939521493
420,124.956157952271
421,124.9562252700622
422,124.9562902010243
423,124.9563496754762
424,124.956403620042
425,124.9564504768537
426,124.9564895070144
427,124.9565215442643
428,124.9566387007601
429,124.9566549787441
430,124.9566654339241
431,124.956654899413
432,124.9566707183301
433,124.95669942557
434,124.9567337085631
435,124.9567699993439
436,124.9568060695917
437,124.9568408737275
438,124.9568743024574
439,124.9569077300101
440,124.9569415799899
441,124.9569751611033
442,124.9570074516123
443,124.9570398203704
444,124.9572311532608
445,124.9571953587974
446,124.9571941311966
447,124.9572122193664
448,124.9572351613668
449,124.9572537923611
450,124.9574236437933
451,124.9574386979334
452,124.9574531164653
453,124.9574673320166
454,124.9574844137368
455,124.9575029485815
456,124.9575224645949
457,124.9575428566288
458,124.957563818006
459,124.957584633695
460,124.9576059129928
461,124.9576281171098
462,124.9576525626887
463,124.9576798944954
464,124.9577087483464
465,124.9577395527765
466,124.9577699081525
467,124.9578001217572
468,124.957830634417
469,124.9578608509524
470,124.9578895352051
471,124.9579169804165
472,124.9579428628489
473,124.9579666289959
474,124.9579886024226
475,124.9580092561058
476,124.9580292409933
477,124.9580488780103
478,124.9580681720756
479,124.958087260126
480,124.9581065683017
481,124.9581273589214
482,124.9581489290045
483,124.9581713950713
484,124.9581957561325
485,124.9582203305471
486,124.9582461636249
487,124.9582723749419
488,124.9582991157471
489,124.9583260904898
490,124.9583528620339
491,124.9583793518508
492,124.9584050398886
493,124.9584293434204
494,124.9584520977554
495,124.9584731573596
496,124.9584927795646
497,124.9585112975087
498,124.9585288157203
499,124.9585457376212
500,124.9585621148049
501,124.9585782387797
502,124.9585947827492
503,124.9586115732519
504,124.9586283514583
505,124.9586449143047
506,124.9586619144487
507,124.9586812422482
508,124.9587017061291
509,124.9587233929486
510,124.9587460972592
511,124.9587698006432
512,124.9588804566981
513,124.9588928624035
514,124.9589019218825
515,124.9589078661446
516,124.9589109560025
517,124.9589126952442
518,124.9589140769053
519,124.9589161006628
520,124.9589189897245
521,124.9589231322488
522,124.9589289198872
523,124.9589367869571
524,124.9589474966666
525,124.9589614606192
526,124.9589794840565
527,124.9590015987268
528,124.9590264612559
529,124.9590531229049
530,124.9590801910613
531,124.9591068241535
532,124.9591323507715
533,124.9591558901445
534,124.9591769718181
535,124.9591954020728
536,124.9592107306109
537,124.9592230378989
538,124.9592325625779
539,124.959239072215
540,124.9592435443195
541,124.9592464596866
542,124.9592476074822
543,124.9592480271366
544,124.9591931406858
545,124.9592508480358
546,124.9592529053532
547,124.9591977620727
548,124.959198519381
549,124.9592174153107
550,124.9592391256438
551,124.9592568268544
552,124.9592258826749
553,124.9592865749728
554,124.9593045309804
555,124.9592746238686
556,124.9593419385125
557,124.9593637146182
558,124.9593368699236
559,124.959405684713
560,124.9593755977091
561,124.9594412282662
562,124.9594062570358
563,124.9594653473885
564,124.9594262631224
565,124.9594255309506
566,124.9594442277134
567,124.9594702542599
568,124.9594969634943
569,124.9595205351411
570,124.9595400973382
571,124.9595569222712
572,124.9595717314152
573,124.9595866927629
574,124.9596026317861
575,124.9596208077979
576,124.9596422884723
577,124.9596664519824
578,124.9596915923448
579,124.9597149619374
580,124.9597383343044
581,124.9597611317582
582,124.9597832042603
583,124.9598042022521
584,124.9598242348256
585,124.9598423237187
586,124.9598591913915
587,124.9598747531251
588,124.9598887152438
589,124.959901046449
590,124.9599117736718
591,124.9599216681323
592,124.9599315800879
593,124.9599411398742
594,124.9599508408018
595,124.959961121966
596,124.9599719695562
597,124.9599831285543
598,124.9599949983731
599,124.9600077309212
600,124.9600215336833
601,124.9600362210126
602,124.9600518725023
603,124.9600679622894
604,124.9600838615255
605,124.9600993015993
606,124.9601140121508
607,124.9601277732183
608,124.9601405685307
609,124.960152498493
610,124.9601642408444
611,124.9601754123799
612,124.9601866209167
613,124.9601978609784
614,124.9602092121348
615,124.9602211382774
616,124.9602337591394
617,124.9602477784304
618,124.9602622942609
619,124.9602780306979
620,124.9602947023134
621,124.9603121296423
622,124.9603306784186
623,124.9603500405831
624,124.9603700201689
625,124.9603888234645
626,124.9604063747182
627,124.9604227148096
628,124.9604373996274
629,124.9604500866661
630,124.9604609256864
631,124.9604702328303
632,124.960477948465
633,124.9604843942659
634,124.960490032381
635,124.960496033713
636,124.9605019516143
637,124.9605079908609
638,124.9605153566803
639,124.960527879836
640,124.9605402649319
641,124.9605565835268
642,124.9605724189293
643,124.960591903819
644,124.960609482314
645,124.9606254690347
646,124.9606470189243
647,124.9606670187374
648,124.9606850136904
649,124.9607016426062
650,124.9607177850772
651,124.9607335421716
652,124.9607485101507
653,124.9607629625533
654,124.9607782257311
655,124.9607907879936
656,124.96080090928
657,124.9608093919943
658,124.9608171356602
659,124.9608243996774
660,124.9608317754146
661,124.96083964934
662,124.9608486750245
663,124.9608635144884
664,124.9608785463151
665,124.9608974745095
666,124.960915178963
667,124.9609362193573
668,124.960954915793
669,124.9609722809476
670,124.9609889488231
671,124.9610053582241
672,124.9610222648365
673,124.9610394207504
674,124.9610563007852
675,124.9610717374626
676,124.9610856577917
677,124.9610981917945
678,124.9611103533168
679,124.961121390296
680,124.9611310033721
681,124.9611391251673
682,124.9611463597659
683,124.9611528269844
684,124.9611581904263
685,124.9611633441716
