Iteration,total-to-static-pressure
1,200.0000000000001
2,200.0000000000001
3,200.0000000000001
4,200.0000000000001
5,200.0000000000001
6,200.0000000000001
7,200.0000000000001
8,200.0000000000001
9,200.0000000000001
10,199.4811007497601
11,191.5016189538202
12,178.7943125435615
13,161.5628909958902
14,141.827073914894
15,120.1434072664025
16,99.72829241615747
17,82.51319176278231
18,65.67663929584802
19,51.51728228239667
20,50.78059444808401
21,56.46765921646473
22,57.98491182799276
23,60.14172093095966
24,47.90773688078906
25,7.867635288530746
26,-56.06403284068064
27,-150.7374225537775
28,-206.7316232817647
29,-272.9236069790027
30,-332.6635649441855
31,-347.8149202580227
32,-359.4243829492441
33,-328.4465766873186
34,-312.0700036252608
35,-279.0417565859976
36,-251.3145943890948
37,-205.9864577111219
38,-172.9690276017967
39,-134.7845610423737
40,-96.34840921458063
41,-66.33725732737179
42,-40.8855590507212
43,-19.18074356206806
44,-0.5909387019070866
45,17.27720688748382
46,31.60318077526798
47,44.18644520023122
48,58.83283161845733
49,70.12052238083803
50,80.64584715854248
51,91.74692883335889
52,99.89915896530297
53,107.7402624200936
54,115.7045346598794
55,123.3767246605385
56,130.9311255210923
57,138.7114468968294
58,145.9038915380951
59,152.9827680996486
60,159.2499515321753
61,165.5198740917372
62,171.2494056122417
63,177.3479193261981
64,181.8302895388031
65,185.1713640917556
66,187.4988452541065
67,189.2799218304737
68,190.6857207984992
69,191.7723886068341
70,192.6032899756033
71,193.1201553924495
72,193.7363983729815
73,194.1289465739419
74,194.5924378210136
75,194.6284279004284
76,194.7630775836561
77,194.8804185004783
78,195.1338915342728
79,195.3610108297183
80,195.4578649804737
81,195.7414488542084
82,195.9632310652876
83,196.0637072053208
84,196.1480287097984
85,196.268187412143
86,196.5027035394311
87,196.528296368216
88,196.5318842934238
89,196.6969172132861
90,196.8349306378324
91,196.9059462924414
92,197.0554164964209
93,197.1832354562899
94,197.2270189187122
95,197.4293580155894
96,197.5747333983537
97,197.6469726075233
98,197.8137771784181
99,197.992271124451
100,198.1092090117764
101,198.2866380671412
102,198.4272833593055
103,198.5218149170095
104,198.6496537308572
105,198.773812576438
106,198.8836865622095
107,198.9811601454878
108,199.0602985134364
109,199.1523616596989
110,199.2228527408225
111,199.2999813871069
112,199.3549803941314
113,199.4256698276788
114,199.4725975175305
115,199.5192851712696
116,199.5655366750876
117,199.6067420986311
118,199.6334891713396
119,199.6686017610191
120,199.7010638833622
121,199.7248889150701
122,199.7407550267546
123,199.7629765912006
124,199.7757135038202
125,199.791587246901
126,199.8057914375059
127,199.8231170579684
128,199.8414673687732
129,199.8469003186976
130,199.8572012644769
131,199.866522612415
132,199.8719300889643
133,199.8780181490066
134,199.8818825861772
135,199.8853893253292
136,199.886801692333
137,199.8865560259184
138,199.8845596662701
139,199.8832738456696
140,199.8826179039432
141,199.8825354090841
142,199.8835037270925
143,199.8859070159148
144,199.8893583435798
145,199.8938270418958
146,199.8988577889463
147,199.9041197738982
148,199.9098875702077
149,199.9167050926828
150,199.9227153235589
151,199.9284088317944
152,199.9337354586883
153,199.9385491015657
154,199.9422094432681
155,199.9449129384098
156,199.9469245947099
157,199.948410242525
158,199.9490025199103
159,199.9490188665393
160,199.9491713008107
161,199.9488197946692
162,199.948342655046
163,199.9480534892423
164,199.9480770589012
165,199.9482222278703
166,199.948393884245
167,199.9490002517233
168,199.9493529579722
169,199.9493551788786
170,199.9492485281509
171,199.94880849678
172,199.9479755210996
173,199.947341798502
174,199.9461383054054
175,199.9447866138498
176,199.9435316974022
177,199.9420859706197
178,199.9404770426399
179,199.9390734222593
180,199.9372165097893
181,199.9356269788923
182,199.9339684484114
183,199.9322630169669
184,199.9305435310116
185,199.9289602851225
186,199.9272065629532
187,199.9258508571584
188,199.9241644491911
189,199.9224890137639
190,199.9209865763661
191,199.9196342843216
192,199.9182361622316
193,199.9169479798737
194,199.9160086156855
195,199.9153095613525
196,199.9144589516816
197,199.9137293928676
198,199.9136512267478
199,199.9133846744884
200,199.9130804375583
201,199.9129124889787
202,199.912836444674
203,199.9128218370873
204,199.9127046705095
205,199.9127014107028
206,199.9126890266558
207,199.9125705059933
208,199.9125744018477
209,199.9125025282489
210,199.9123025284436
211,199.9120286121043
212,199.9116765859558
213,199.9112337328434
214,199.910650537449
215,199.9104420473719
216,199.9098057061517
217,199.9091883376426
218,199.9090638987585
219,199.9086586431065
220,199.9081887230585
221,199.90777976378
222,199.907366093177
223,199.9066261808495
224,199.9061500526008
225,199.9058955138394
226,199.9050789170271
227,199.9044759734252
228,199.9036704378197
229,199.9035855933485
230,199.9026472534632
231,199.9020627928267
232,199.9016169879492
233,199.9008115939174
234,199.9004774339622
235,199.8999625030611
236,199.8993508844505
237,199.8989660793667
238,199.8986347907604
239,199.8985845819027
240,199.8980655666773
241,199.898191721141
242,199.8972498730292
243,199.8972326358893
244,199.8975400428787
245,199.8970174964475
246,199.8967521579835
247,199.8964882373706
248,199.8964666949292
249,199.8964439638914
250,199.8957705837016
251,199.895638281247
252,199.8952473763302
253,199.8955122356973
254,199.894939062683
255,199.8943810108797
256,199.8938916017251
257,199.8943547522164
258,199.8939664909578
259,199.8935317814023
260,199.8932983965088
261,199.8926667766502
262,199.8928925779918
263,199.8920443670885
264,199.8915696420987
265,199.8911447092577
266,199.8905369578748
267,199.8902242113647
268,199.8900290102332
269,199.8890444302763
270,199.8889174153154
271,199.888638657395
272,199.8879145634667
273,199.8872546367118
274,199.886870426721
275,199.8867954467103
276,199.8858578316385
277,199.8858741638824
278,199.8849233059262
279,199.884486940186
280,199.8838204010513
281,199.8835102496845
282,199.8830702022337
283,199.8825889986091
284,199.8827174155923
285,199.8822999400889
286,199.8821173772746
287,199.88248453397
288,199.8822003936521
289,199.8819238484157
290,199.8822976578748
291,199.8819971366897
292,199.8819705109404
293,199.8817285920935
294,199.8820104235591
295,199.8821372201414
296,199.8822939147719
297,199.8820270497879
298,199.882170922487
299,199.8826022840946
300,199.8822098370758
301,199.8825551047028
302,199.8828127116363
303,199.8832089182926
304,199.8829447154508
305,199.88293848732
306,199.8829624586245
307,199.8837398447986
308,199.883258080417
309,199.8837859025238
310,199.8835624903399
311,199.8837423761499
312,199.8836689332214
313,199.8841530388999
314,199.883877308175
315,199.8847092312575
316,199.8842575682058
317,199.8844815817117
318,199.8844335711403
319,199.8847447942686
320,199.8842017389927
321,199.8848608773038
322,199.8848996601508
323,199.8850922960262
324,199.8852624442276
325,199.8854592871486
326,199.8851193365772
327,199.8859653296439
328,199.8856778148029
329,199.8857427883987
330,199.8858980774369
331,199.8863842509348
332,199.8864177348462
333,199.886952303538
334,199.8869581759731
335,199.8868686666273
336,199.8877481567671
337,199.8879618944808
338,199.8880095559015
339,199.8882861220924
340,199.8884524718095
341,199.8888882655799
342,199.8890677452031
343,199.8894608823779
344,199.889592385256
345,199.8898210684991
346,199.8902013061812
347,199.8905353767914
348,199.8908513283689
349,199.8907482463493
350,199.8913621369188
351,199.8917124391995
352,199.8921029281709
353,199.8922054542517
354,199.8924337448315
355,199.8924436570214
356,199.8929706636096
357,199.8929232100396
358,199.892826660467
359,199.8930706694421
360,199.8934697962039
361,199.8937348158413
362,199.893946899686
363,199.8940588492688
364,199.8939460533285
365,199.8941216666582
366,199.8943912092803
367,199.8941182585804
368,199.8946022812699
369,199.8946196949003
370,199.8947588676652
371,199.8943848424894
372,199.8949747270252
373,199.8948163214918
374,199.8951217430488
375,199.8951855772117
376,199.8954124063745
377,199.8957300993919
378,199.8964188629442
379,199.8959825369828
380,199.8968066501297
381,199.896863085289
382,199.8973750711394
383,199.8975193778311
384,199.8978309048132
385,199.8982408287139
386,199.898575682165
387,199.89904557203
388,199.8991637617981
389,199.8992835734242
390,199.899905871727
391,199.9001309549193
392,199.9001619132936
393,199.90104607648
394,199.9009806258523
395,199.9009768156908
396,199.9016889430757
397,199.9016090214727
398,199.9020909591858
399,199.9025618054688
400,199.9026443498534
401,199.902834378268
402,199.903018289212
403,199.9027759494059
404,199.903371862051
405,199.9038695452013
406,199.9040542320737
407,199.9040751783801
408,199.9043284246819
409,199.9049699403515
410,199.9051504623421
411,199.9054567159199
412,199.905676169678
413,199.9065144371473
414,199.9063919013252
415,199.9067937893323
416,199.9068697798136
417,199.9075033312854
418,199.9074742541769
419,199.9080953504606
420,199.9083573658273
421,199.9085871783483
422,199.9091084877242
423,199.9091489369308
424,199.9096258389804
425,199.9100377629281
426,199.9106397066459
427,199.9111275306775
428,199.9115312324683
429,199.9116374806674
430,199.9130456674921
431,199.9130815276404
432,199.9140532361299
433,199.9141714715534
434,199.914735406069
435,199.9150709016274
436,199.915198099677
437,199.9153965230947
438,199.9158984683031
439,199.9160529179671
440,199.9160301685843
441,199.916611323355
442,199.9168045137033
443,199.9170837021865
444,199.9172385944163
445,199.9176327677791
446,199.9176903228108
447,199.918103736112
448,199.918440195275
449,199.9184306560731
450,199.9188116052316
451,199.9191595083334
452,199.9192553512853
453,199.9194891345327
454,199.9200261912193
455,199.919692336716
456,199.9201416353735
457,199.9206309413543
458,199.9205108822943
459,199.9206169492451
460,199.9209448170541
461,199.9213563711985
462,199.9211160073326
463,199.9210606188757
464,199.9211486272846
465,199.9214314813899
466,199.9210423089725
467,199.9217236397108
468,199.9213790980038
469,199.9210127402494
470,199.9218250997611
471,199.921381246836
472,199.921726035703
473,199.9215614575372
474,199.9217868448973
475,199.9218387559249
476,199.921667108203
477,199.9224237749172
478,199.9220642987921
479,199.9226507009978
480,199.9224135185684
481,199.9231103284318
482,199.9226844249399
483,199.9229740583285
484,199.923422150969
485,199.9233293842997
486,199.9229616667866
487,199.9236165694959
488,199.9233846991909
489,199.923478973004
490,199.9230689958735
491,199.9237306766947
492,199.9235665969781
493,199.9236917822141
494,199.9239345519374
495,199.9239800372417
496,199.9240255146399
497,199.9238900119917
498,199.9237073779723
499,199.9235107100054
500,199.924260279567
501,199.9245548568153
502,199.9243332275313
503,199.9243487840338
504,199.9243097888601
505,199.9249574893472
506,199.9244997323108
507,199.9240713191261
508,199.9245328658406
509,199.9249051834482
510,199.924505229403
511,199.924700676771
512,199.9246193123149
513,199.9244425788701
514,199.9253381041706
515,199.9252258493229
516,199.9244818909924
517,199.9253052672779
518,199.9252050447897
519,199.9253081828363
520,199.9250137223476
521,199.9250789373181
522,199.9250982716381
523,199.9252623191157
524,199.925098076275
525,199.9256856882071
526,199.9251662322331
527,199.9257444260614
528,199.9254174642613
529,199.9249809085235
530,199.9250466620569
531,199.9251021194959
532,199.9247405256326
533,199.9254091791487
534,199.92489732407
535,199.9253235246946
536,199.9251722489191
537,199.9251476389422
538,199.9257157312311
539,199.9249890055938
540,199.9252005996529
541,199.9256185827043
542,199.9256780438519
543,199.9249353850919
544,199.9256601653674
545,199.9255939051468
546,199.9257098738255
547,199.9257248685468
548,199.9257176508974
549,199.926031020197
550,199.9261453572726
551,199.9263701341146
552,199.9263276487768
553,199.9262865480791
554,199.9264575128853
555,199.9263355599898
556,199.9267487900605
557,199.926883827329
558,199.9268082409058
559,199.9268440624109
560,199.9271272467552
561,199.9274983325341
562,199.9273652243884
563,199.9275362328326
564,199.9276900297534
565,199.9281600193662
566,199.9279011554074
567,199.9283945898017
568,199.9287715998044
569,199.9287747346486
570,199.9287899840588
571,199.9289479368277
572,199.9287229027574
573,199.9289376525457
574,199.9290301449508
575,199.9299686312823
576,199.9299004453998
577,199.9300708276004
578,199.930037541213
579,199.9301301511641
580,199.9308399055536
581,199.9305822318599
582,199.9310380640436
583,199.9310236221243
584,199.9302644843995
585,199.930829022205
586,199.9312614221401
587,199.9308497519942
588,199.9306772602424
589,199.9313708834547
590,199.9311860317103
591,199.9307565819548
592,199.9313663965514
593,199.9317385136046
594,199.930433573091
595,199.9310368489502
596,199.9317517796576
597,199.9312246635082
598,199.9310962789538
599,199.9308763068684
600,199.931461436009
601,199.9322794296518
602,199.9313608810106
603,199.9312221968001
604,199.9317602535062
605,199.9313876589308
606,199.9311278491903
607,199.9318527827731
608,199.9319435839315
609,199.9310928756977
610,199.9315970798965
611,199.9310902450421
612,199.930948319038
613,199.9321298426222
614,199.9310693426667
615,199.9312786429724
616,199.9315336515622
617,199.9316257544144
618,199.9314966379659
619,199.9315884184008
620,199.9309207024451
621,199.9318922697909
622,199.9319545376882
623,199.9317502027096
624,199.9316407161673
625,199.932203818152
626,199.931643470026
627,199.9319680720862
628,199.932574841551
629,199.9323727186838
630,199.9316496031591
631,199.9330599920389
632,199.9324649945751
633,199.9321505096204
634,199.9322979138957
635,199.9320887423565
636,199.9321984464552
637,199.9322055787574
638,199.9323778116091
639,199.9330704269616
640,199.9316517538275
641,199.9326026852595
642,199.9324236220507
643,199.9315106268002
644,199.9317539494651
645,199.9330903873371
646,199.9317058483666
647,199.9318983188177
648,199.9319582797298
649,199.9332769000387
650,199.9317680706719
651,199.9319939237875
652,199.9322406729359
653,199.9314720203097
654,199.9313537216366
655,199.9316620504028
656,199.930878620551
657,199.9316011443416
658,199.9323634392399
659,199.9310203272588
660,199.9312389703776
661,199.931317897651
662,199.9318794391675
663,199.932096745083
664,199.9318803598855
665,199.9317113076181
666,199.931851546337
667,199.932209912921
668,199.9315317855294
669,199.9312081795466
670,199.9306730110741
671,199.9312764570111
672,199.9314986367076
673,199.9313553626953
674,199.9305923966054
675,199.9306688966579
676,199.9313138082217
677,199.9312481935366
678,199.9312058901028
679,199.9306535493393
680,199.9301652854221
681,199.9302506725618
682,199.930865822771
683,199.9307626090802
684,199.9310042815131
685,199.9309660467625
686,199.9315577309054
687,199.9298546923798
688,199.9298317537126
689,199.929544786234
690,199.9300607629186
691,199.9305607883691
692,199.9315744858963
693,199.9317830835943
694,199.9310903279855
695,199.9310099837722
696,199.9309436380539
697,199.9305499671126
698,199.9310895559014
699,199.9308173877442
700,199.930481755487
701,199.9306284880662
702,199.9301475135277
703,199.9309399034736
704,199.9309642290773
705,199.9313472914491
706,199.9315341618415
707,199.9318867027663
708,199.9311479869891
709,199.9311996921464
710,199.9311727564437
711,199.9306421372338
712,199.930990895557
713,199.930829513977
714,199.9305916119619
715,199.9299881524437
716,199.93110341399
717,199.9308895108448
718,199.9312411974873
719,199.9309713689875
720,199.9303095059549
721,199.930837392748
722,199.93148780836
723,199.9311599784874
724,199.9314849052086
725,199.9313462753705
726,199.9314581191569
727,199.9305305490353
