[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-2.79302351E-002,  2.70562310E-001,  5.76058882E-003, -6.74696785E+002, -4.88907527E+002
-2.79425712E-002,  2.70750166E-001,  5.76937261E-003, -7.18776572E+002, -5.05282583E+002
-2.79527750E-002,  2.70905666E-001,  5.77664124E-003, -7.95909300E+002, -5.29299774E+002
-2.79612104E-002,  2.71034299E-001,  5.78265264E-003, -1.01168511E+003, -6.38101449E+002
-2.79681807E-002,  2.71140650E-001,  5.78762177E-003, -1.27254083E+003, -8.29311682E+002
-2.79739374E-002,  2.71228527E-001,  5.79172711E-003, -1.32062855E+003, -9.08837931E+002
-2.79786901E-002,  2.71301109E-001,  5.79511748E-003, -1.18898270E+003, -8.16043915E+002
-2.79826123E-002,  2.71361020E-001,  5.79791568E-003, -1.13970433E+003, -7.57173246E+002
-2.14083261E-002,  1.63605264E-001,  4.25219158E-004, -1.97641478E+002, -1.04274614E+002
-2.14094109E-002,  1.63615212E-001,  4.25265444E-004, -1.97546832E+002, -1.04247787E+002
-2.14108008E-002,  1.63627962E-001,  4.25324852E-004, -1.97335255E+002, -1.04177248E+002
-2.14125816E-002,  1.63644301E-001,  4.25401167E-004, -1.97283106E+002, -1.04133668E+002
-2.14148630E-002,  1.63665241E-001,  4.25499268E-004, -1.98649141E+002, -1.04536455E+002
-2.14177854E-002,  1.63692077E-001,  4.25625487E-004, -2.01671496E+002, -1.05482027E+002
-2.14215285E-002,  1.63726470E-001,  4.25788077E-004, -2.05396345E+002, -1.06666997E+002
-2.14263219E-002,  1.63770547E-001,  4.25997844E-004, -2.06877879E+002, -1.07165818E+002
-2.14324585E-002,  1.63827034E-001,  4.26269043E-004, -2.05465878E+002, -1.06766278E+002
-2.14403124E-002,  1.63899428E-001,  4.26620642E-004, -2.02633965E+002, -1.05926691E+002
-2.14503590E-002,  1.63992208E-001,  4.27078209E-004, -2.01061685E+002, -1.05493415E+002
-2.14632021E-002,  1.64111116E-001,  4.27676783E-004, -2.02399925E+002, -1.05871378E+002
-2.14795889E-002,  1.64263519E-001,  4.28479622E-004, -2.05729941E+002, -1.06774699E+002
-2.15004081E-002,  1.64458864E-001,  4.29620556E-004, -2.08156992E+002, -1.07746549E+002
-2.15267865E-002,  1.64709256E-001,  4.31270414E-004, -2.08794789E+002, -1.07760495E+002
-2.15601032E-002,  1.65030219E-001,  4.33689438E-004, -2.08508751E+002, -1.06711756E+002
-2.16020365E-002,  1.65441659E-001,  4.37274651E-004, -2.07397409E+002, -1.06334873E+002
-2.16546527E-002,  1.65969095E-001,  4.42615498E-004, -2.07427591E+002, -1.07367738E+002
-2.17205935E-002,  1.66645228E-001,  4.50549226E-004, -2.10391424E+002, -1.09722506E+002
-2.18034040E-002,  1.67511937E-001,  4.62215099E-004, -2.13969407E+002, -1.09108598E+002
-2.19079258E-002,  1.68622854E-001,  4.79155823E-004, -2.11337429E+002, -1.12634644E+002
-2.20405799E-002,  1.70046668E-001,  5.03562252E-004, -2.15886786E+002, -1.12898265E+002
-2.22093532E-002,  1.71871395E-001,  5.38779237E-004, -2.16479469E+002, -1.09920024E+002
-2.24222132E-002,  1.74209920E-001,  5.90620757E-004, -2.17150055E+002, -1.10498987E+002
-2.26744110E-002,  1.77212685E-001,  6.73400115E-004, -2.31829908E+002, -1.34952442E+002
-2.29246627E-002,  1.81065183E-001,  8.19238278E-004, -2.21854564E+002, -1.18852192E+002
-2.32224932E-002,  1.86004267E-001,  1.03350680E-003, -2.34495336E+002, -1.24983201E+002
-2.35699794E-002,  1.92360687E-001,  1.35410402E-003, -2.53271843E+002, -1.69642779E+002
-2.38694120E-002,  1.98717628E-001,  1.73563076E-003, -2.78961724E+002, -1.82687294E+002
-2.41680240E-002,  2.05075013E-001,  2.13538828E-003, -3.45158119E+002, -3.00102593E+002
-2.44723928E-002,  2.11429086E-001,  2.54382072E-003, -4.40846644E+002, -4.43464838E+002
-2.48047034E-002,  2.17780561E-001,  2.94636373E-003, -5.13895358E+002, -5.65316586E+002
-2.51982144E-002,  2.24121228E-001,  3.30756547E-003, -5.28384512E+002, -3.28354192E+002
-2.56174620E-002,  2.30459300E-001,  3.65174208E-003, -5.20398214E+002, -2.97626772E+002
-2.60924902E-002,  2.36791883E-001,  3.97133711E-003, -6.46704652E+002, -6.38454887E+002
-2.65066439E-002,  2.42234329E-001,  4.23829437E-003, -6.97768822E+002, -7.23934062E+002
-2.68649539E-002,  2.46878814E-001,  4.46078615E-003, -7.07030460E+002, -7.63083997E+002
-2.71716053E-002,  2.50828788E-001,  4.64873725E-003, -7.05888016E+002, -7.62970671E+002
-2.74291086E-002,  2.54177977E-001,  4.80649560E-003, -7.75336393E+002, -7.67883244E+002
-2.76451439E-002,  2.57010090E-001,  4.93873530E-003, -7.75873622E+002, -5.28828895E+002
-2.78180445E-002,  2.59399821E-001,  5.05178969E-003, -8.10530134E+002, -7.15954882E+002
-2.79584828E-002,  2.61411721E-001,  5.14757620E-003, -8.02800369E+002, -5.44832732E+002
-2.80755834E-002,  2.63101872E-001,  5.22770955E-003, -8.30916726E+002, -7.18539463E+002
-2.81733075E-002,  2.64519032E-001,  5.29462556E-003, -7.88968812E+002, -8.02800827E+002
-2.82548502E-002,  2.65705328E-001,  5.35043363E-003, -7.40812119E+002, -7.89727323E+002
-2.83228457E-002,  2.66696899E-001,  5.39693217E-003, -6.91942846E+002, -7.60251938E+002
-2.83794922E-002,  2.67524562E-001,  5.43564053E-003, -6.35138119E+002, -6.87116934E+002
-2.84266384E-002,  2.68214559E-001,  5.46783933E-003, -6.01819745E+002, -6.42643040E+002
-2.84658386E-002,  2.68789119E-001,  5.49460329E-003, -5.76070724E+002, -5.95824860E+002
-2.84984021E-002,  2.69267056E-001,  5.51683440E-003, -5.54822394E+002, -5.35504992E+002
-2.85254288E-002,  2.69664224E-001,  5.53528751E-003, -5.60829417E+002, -4.76401230E+002
-2.85478420E-002,  2.69993978E-001,  5.55059457E-003, -5.88834207E+002, -4.47511215E+002
-2.85664156E-002,  2.70267530E-001,  5.56328378E-003, -6.36179035E+002, -4.72018158E+002
-2.85817972E-002,  2.70494287E-001,  5.57379649E-003, -6.84883435E+002, -4.99256507E+002
-2.85945270E-002,  2.70682111E-001,  5.58250049E-003, -7.32348801E+002, -5.27262630E+002
-2.86050563E-002,  2.70837585E-001,  5.58970286E-003, -7.74329697E+002, -5.37163159E+002
-2.86137606E-002,  2.70966197E-001,  5.59565929E-003, -8.82860793E+002, -5.84536916E+002
-2.86209530E-002,  2.71072531E-001,  5.60058287E-003, -1.12602359E+003, -7.55625058E+002
-2.86268932E-002,  2.71160394E-001,  5.60465051E-003, -1.31625690E+003, -9.20854887E+002
-2.86317973E-002,  2.71232963E-001,  5.60800968E-003, -1.22668304E+003, -8.63134858E+002
-2.86358444E-002,  2.71292865E-001,  5.61078211E-003, -1.26030140E+003, -8.67291549E+002
-2.17458088E-002,  1.63560749E-001,  3.05210463E-004, -2.09056922E+002, -1.07275427E+002
-2.17469132E-002,  1.63570695E-001,  3.05243073E-004, -2.08905681E+002, -1.07229684E+002
-2.17483284E-002,  1.63583442E-001,  3.05284954E-004, -2.08601649E+002, -1.07124304E+002
-2.17501415E-002,  1.63599777E-001,  3.05338801E-004, -2.08577398E+002, -1.07100967E+002
-2.17524643E-002,  1.63620712E-001,  3.05408098E-004, -2.10234760E+002, -1.07621414E+002
-2.17554398E-002,  1.63647542E-001,  3.05497389E-004, -2.13550361E+002, -1.08725461E+002
-2.17592509E-002,  1.63681927E-001,  3.05612626E-004, -2.17139762E+002, -1.09957026E+002
-2.17641313E-002,  1.63725994E-001,  3.05761666E-004, -2.18296680E+002, -1.10386585E+002
-2.17703795E-002,  1.63782468E-001,  3.05954967E-004, -2.16748597E+002, -1.09941048E+002
-2.17783762E-002,  1.63854846E-001,  3.06206618E-004, -2.13438845E+002, -1.08954013E+002
-2.17886058E-002,  1.63947605E-001,  3.06535897E-004, -2.10806113E+002, -1.08210320E+002
-2.18016829E-002,  1.64066485E-001,  3.06969728E-004, -2.11685981E+002, -1.08417732E+002
-2.18183689E-002,  1.64218853E-001,  3.07561391E-004, -2.14528299E+002, -1.09006500E+002
-2.18395696E-002,  1.64414154E-001,  3.08433526E-004, -2.15904381E+002, -1.09172149E+002
-2.18664335E-002,  1.64664489E-001,  3.09742116E-004, -2.15443104E+002, -1.08069489E+002
-2.19003665E-002,  1.64985380E-001,  3.11729170E-004, -2.14404924E+002, -1.07178226E+002
-2.19430800E-002,  1.65396730E-001,  3.14769956E-004, -2.13063446E+002, -1.06752465E+002
-2.19966808E-002,  1.65924052E-001,  3.19428969E-004, -2.14371094E+002, -1.08551143E+002
-2.20638627E-002,  1.66600041E-001,  3.26516812E-004, -2.17943969E+002, -1.10961491E+002
-2.21482401E-002,  1.67466570E-001,  3.37147816E-004, -2.18531105E+002, -1.09015102E+002
-2.22547518E-002,  1.68577258E-001,  3.52847579E-004, -2.17648703E+002, -1.13889892E+002
-2.23899537E-002,  1.70000778E-001,  3.75807950E-004, -2.24745919E+002, -1.15184756E+002
-2.25620095E-002,  1.71825122E-001,  4.09410320E-004, -2.22724431E+002, -1.11506615E+002
-2.27790725E-002,  1.74163147E-001,  4.59566595E-004, -2.21500029E+002, -1.11554460E+002
-2.30365366E-002,  1.77165350E-001,  5.40678603E-004, -2.43303067E+002, -1.36837871E+002
-2.32953656E-002,  1.81017199E-001,  6.83975857E-004, -2.32704935E+002, -1.28134704E+002
-2.36040593E-002,  1.85955438E-001,  8.96325881E-004, -2.38327319E+002, -1.09091338E+002
-2.39655058E-002,  1.92310751E-001,  1.21534110E-003, -2.63915786E+002, -1.64531857E+002
-2.42782167E-002,  1.98666883E-001,  1.59317651E-003, -3.05382011E+002, -1.98665508E+002
-2.45905764E-002,  2.05023441E-001,  1.99018476E-003, -3.81601455E+002, -3.29395368E+002
-2.49095393E-002,  2.11376673E-001,  2.39609945E-003, -4.79383459E+002, -4.50409303E+002
-2.52571939E-002,  2.17727297E-001,  2.79593492E-003, -5.85484039E+002, -5.56841232E+002
-2.56679393E-002,  2.24066916E-001,  3.15661011E-003, -5.88813670E+002, -4.12206397E+002
-2.61052411E-002,  2.30403883E-001,  3.49988524E-003, -6.46019581E+002, -4.34437205E+002
-2.65976238E-002,  2.36735247E-001,  3.81859612E-003, -7.85602606E+002, -7.71956620E+002
-2.70266503E-002,  2.42176675E-001,  4.08437439E-003, -8.55041923E+002, -8.69325735E+002
-2.73970778E-002,  2.46820291E-001,  4.30570301E-003, -8.43261016E+002, -9.27734554E+002
-2.77135731E-002,  2.50769580E-001,  4.49237704E-003, -8.64884612E+002, -9.38763610E+002
-2.79793226E-002,  2.54118222E-001,  4.64892399E-003, -9.44004050E+002, -8.81282384E+002
-2.82022602E-002,  2.56949878E-001,  4.78005445E-003, -9.79948947E+002, -5.71491505E+002
-2.83801159E-002,  2.59339234E-001,  4.89228276E-003, -1.05534577E+003, -8.62834231E+002
-2.85242890E-002,  2.61350840E-001,  4.98741842E-003, -1.07465154E+003, -6.07815705E+002
-2.86444864E-002,  2.63040760E-001,  5.06698390E-003, -1.05584007E+003, -8.69571667E+002
-2.87447825E-002,  2.64457726E-001,  5.13340834E-003, -9.79212590E+002, -1.00900826E+003
-2.88284629E-002,  2.65643861E-001,  5.18879402E-003, -8.88253701E+002, -9.25298214E+002
-2.88982350E-002,  2.66635296E-001,  5.23493180E-003, -8.52234159E+002, -9.18980991E+002
-2.89563574E-002,  2.67462847E-001,  5.27333357E-003, -8.18263878E+002, -8.94583490E+002
-2.90047292E-002,  2.68152750E-001,  5.30527294E-003, -7.54417912E+002, -8.31619574E+002
-2.90449464E-002,  2.68727233E-001,  5.33181818E-003, -6.68222684E+002, -7.31252904E+002
-2.90783534E-002,  2.69205104E-001,  5.35386547E-003, -6.03734484E+002, -6.33781909E+002
-2.91060790E-002,  2.69602219E-001,  5.37216452E-003, -5.91757135E+002, -5.74743018E+002
-2.91290714E-002,  2.69931928E-001,  5.38734276E-003, -6.26719599E+002, -5.91927114E+002
-2.91481244E-002,  2.70205443E-001,  5.39992449E-003, -6.69676211E+002, -6.05476320E+002
-2.91639027E-002,  2.70432169E-001,  5.41034766E-003, -7.09220957E+002, -5.72465594E+002
-2.91769606E-002,  2.70619969E-001,  5.41897720E-003, -7.51279842E+002, -5.63693638E+002
-2.91877611E-002,  2.70775422E-001,  5.42611773E-003, -7.75499428E+002, -5.56620244E+002
-2.91966895E-002,  2.70904017E-001,  5.43202285E-003, -8.29497930E+002, -5.53650733E+002
-2.92040671E-002,  2.71010336E-001,  5.43690393E-003, -1.02809875E+003, -6.57808340E+002
-2.92101601E-002,  2.71098187E-001,  5.44093638E-003, -1.27587681E+003, -8.45492469E+002
-2.92151904E-002,  2.71170746E-001,  5.44426645E-003, -1.29220129E+003, -8.82097729E+002
-2.92193415E-002,  2.71230640E-001,  5.44701482E-003, -1.38424421E+003, -9.35761745E+002
-2.20531832E-002,  1.63519589E-001,  1.97545166E-004, -2.27602417E+002, -1.12689068E+002
-2.20543032E-002,  1.63529533E-001,  1.97567300E-004, -2.27470404E+002, -1.12648924E+002
-2.20557382E-002,  1.63542277E-001,  1.97595756E-004, -2.27227432E+002, -1.12561850E+002
-2.20575767E-002,  1.63558610E-001,  1.97632396E-004, -2.28105798E+002, -1.12810715E+002
-2.20599321E-002,  1.63579541E-001,  1.97679641E-004, -2.30592225E+002, -1.13627369E+002
-2.20629494E-002,  1.63606366E-001,  1.97740666E-004, -2.34220450E+002, -1.14877278E+002
-2.20668140E-002,  1.63640744E-001,  1.97819675E-004, -2.37338194E+002, -1.15961302E+002
-2.20717629E-002,  1.63684803E-001,  1.97922279E-004, -2.37726689E+002, -1.16110775E+002
-2.20780989E-002,  1.63741267E-001,  1.98056057E-004, -2.35195899E+002, -1.15296568E+002
-2.20862078E-002,  1.63813631E-001,  1.98231405E-004, -2.30116504E+002, -1.13588228E+002
-2.20965810E-002,  1.63906373E-001,  1.98462866E-004, -2.26478135E+002, -1.12283787E+002
-2.21098418E-002,  1.64025231E-001,  1.98771289E-004, -2.27352009E+002, -1.12067526E+002
-2.21267624E-002,  1.64177571E-001,  1.99202558E-004, -2.28545140E+002, -1.11470275E+002
-2.21482620E-002,  1.64372836E-001,  1.99871170E-004, -2.27489525E+002, -1.10202905E+002
-2.21755060E-002,  1.64623125E-001,  2.00922367E-004, -2.26590496E+002, -1.09324973E+002
-2.22099217E-002,  1.64943959E-001,  2.02585124E-004, -2.26357534E+002, -1.09044413E+002
-2.22532466E-002,  1.65355235E-001,  2.05219230E-004, -2.28361399E+002, -1.10488744E+002
-2.23076217E-002,  1.65882464E-001,  2.09371178E-004, -2.32923246E+002, -1.13470420E+002
-2.23757849E-002,  1.66558335E-001,  2.15831307E-004, -2.36316901E+002, -1.16071734E+002
-2.24614119E-002,  1.67424713E-001,  2.25693010E-004, -2.33096903E+002, -1.16454167E+002
-2.25695269E-002,  1.68535207E-001,  2.40464387E-004, -2.37270350E+002, -1.17754618E+002
-2.27068025E-002,  1.69958477E-001,  2.62332833E-004, -2.45534278E+002, -1.19792862E+002
-2.28815533E-002,  1.71782492E-001,  2.94705894E-004, -2.28620249E+002, -1.15671005E+002
-2.31020951E-002,  1.74120086E-001,  3.43581056E-004, -2.26884841E+002, -1.18511482E+002
-2.33639398E-002,  1.77121803E-001,  4.23495452E-004, -2.79640312E+002, -1.29376391E+002
-2.36298790E-002,  1.80973102E-001,  5.65123429E-004, -2.68750359E+002, -1.77175202E+002
-2.39476679E-002,  1.85910617E-001,  7.76408764E-004, -2.49184560E+002, -8.33710423E+001
-2.43207444E-002,  1.92264990E-001,  1.09469019E-003, -2.98798277E+002, -1.47551739E+002
-2.46442746E-002,  1.98620492E-001,  1.46940383E-003, -4.11248892E+002, -2.60782555E+002
-2.49678586E-002,  2.04976415E-001,  1.86408662E-003, -5.70517371E+002, -4.27829377E+002
-2.52988004E-002,  2.11329007E-001,  2.26785739E-003, -7.19099378E+002, -5.94722368E+002
-2.56590894E-002,  2.17678985E-001,  2.66537884E-003, -8.07677681E+002, -7.46631921E+002
-2.60842955E-002,  2.24017754E-001,  3.02597122E-003, -8.52944097E+002, -1.12648442E+003
-2.65367652E-002,  2.30353818E-001,  3.36890851E-003, -8.81435165E+002, -7.70896507E+002
-2.70436997E-002,  2.36684180E-001,  3.68721320E-003, -8.58689045E+002, -8.53546313E+002
-2.74851826E-002,  2.42124776E-001,  3.95225241E-003, -9.44996482E+002, -9.56605107E+002
-2.78657165E-002,  2.46767684E-001,  4.17274764E-003, -9.53669757E+002, -1.05939738E+003
-2.81903548E-002,  2.50716430E-001,  4.35833449E-003, -1.04290862E+003, -1.11771889E+003
-2.84629172E-002,  2.54064641E-001,  4.51384108E-003, -1.08304102E+003, -9.88229179E+002
-2.86915504E-002,  2.56895937E-001,  4.64401401E-003, -1.11233931E+003, -6.06735495E+002
-2.88734493E-002,  2.59285001E-001,  4.75551702E-003, -1.19381057E+003, -9.78301906E+002
-2.90206428E-002,  2.61296379E-001,  4.85007465E-003, -1.27650752E+003, -6.96153150E+002
-2.91433415E-002,  2.62986120E-001,  4.92913538E-003, -1.32447406E+003, -1.10541633E+003
-2.92457132E-002,  2.64402937E-001,  4.99512274E-003, -1.38430678E+003, -1.46101001E+003
-2.93311174E-002,  2.65588948E-001,  5.05013281E-003, -1.40131924E+003, -1.38031346E+003
-2.94023214E-002,  2.66580280E-001,  5.09594978E-003, -1.38480447E+003, -1.38952508E+003
-2.94616329E-002,  2.67407744E-001,  5.13407891E-003, -1.32940224E+003, -1.34943222E+003
-2.95109916E-002,  2.68097576E-001,  5.16578757E-003, -1.23181618E+003, -1.27776166E+003
-2.95520276E-002,  2.68671998E-001,  5.19213832E-003, -1.11029430E+003, -1.18230695E+003
-2.95861134E-002,  2.69149820E-001,  5.21402215E-003, -9.88917174E+002, -1.11906302E+003
-2.96144016E-002,  2.69546894E-001,  5.23218419E-003, -8.67627662E+002, -1.03649954E+003
-2.96378597E-002,  2.69876568E-001,  5.24724788E-003, -7.72123760E+002, -9.20674913E+002
-2.96572983E-002,  2.70150055E-001,  5.25973402E-003, -7.20238858E+002, -7.50330752E+002
-2.96733956E-002,  2.70376758E-001,  5.27007757E-003, -7.19600465E+002, -6.24450569E+002
-2.96867174E-002,  2.70564538E-001,  5.27864090E-003, -7.54816256E+002, -5.96802673E+002
-2.96977359E-002,  2.70719975E-001,  5.28572643E-003, -7.99383283E+002, -5.84719599E+002
-2.97068445E-002,  2.70848557E-001,  5.29158593E-003, -8.21657936E+002, -5.80648840E+002
-2.97143709E-002,  2.70954865E-001,  5.29642921E-003, -9.05015509E+002, -6.01776669E+002
-2.97205867E-002,  2.71042706E-001,  5.30043036E-003, -1.13382446E+003, -7.56978329E+002
-2.97257184E-002,  2.71115258E-001,  5.30373454E-003, -1.30763831E+003, -9.26038491E+002
-2.97299532E-002,  2.71175146E-001,  5.30646152E-003, -1.50133195E+003, -1.07375271E+003
-2.23272968E-002,  1.63482386E-001,  1.02902069E-004, -2.43923936E+002, -1.17673982E+002
-2.23284301E-002,  1.63492329E-001,  1.02914650E-004, -2.43848018E+002, -1.17649530E+002
-2.23298824E-002,  1.63505071E-001,  1.02930863E-004, -2.43703236E+002, -1.17578893E+002
-2.23317430E-002,  1.63521401E-001,  1.02951809E-004, -2.45235089E+002, -1.18031128E+002
-2.23341268E-002,  1.63542329E-001,  1.02978929E-004, -2.48388680E+002, -1.19106749E+002
-2.23371803E-002,  1.63569149E-001,  1.03014148E-004, -2.51906811E+002, -1.20316767E+002
-2.23410914E-002,  1.63603522E-001,  1.03060058E-004, -2.53752284E+002, -1.20927556E+002
-2.23460998E-002,  1.63647573E-001,  1.03120201E-004, -2.52935469E+002, -1.20675073E+002
-2.23525119E-002,  1.63704028E-001,  1.03199492E-004, -2.46223948E+002, -1.18305264E+002
-2.23607184E-002,  1.63776380E-001,  1.03304894E-004, -2.37481836E+002, -1.15143287E+002
-2.23712165E-002,  1.63869106E-001,  1.03446518E-004, -2.33434064E+002, -1.13327244E+002
-2.23846368E-002,  1.63987945E-001,  1.03639480E-004, -2.34430133E+002, -1.12762995E+002
-2.24017610E-002,  1.64140260E-001,  1.03922706E-004, -2.35016445E+002, -1.11859508E+002
-2.24235190E-002,  1.64335494E-001,  1.04403252E-004, -2.36191582E+002, -1.12077136E+002
-2.24510896E-002,  1.64585743E-001,  1.05216452E-004, -2.41227631E+002, -1.14451721E+002
-2.24859160E-002,  1.64906527E-001,  1.06579567E-004, -2.46936665E+002, -1.15802277E+002
-2.25297536E-002,  1.65317741E-001,  1.08839413E-004, -2.56524542E+002, -1.20267923E+002
-2.25847633E-002,  1.65844893E-001,  1.12529662E-004, -2.61885642E+002, -1.23368265E+002
-2.26537077E-002,  1.66520668E-001,  1.18430534E-004, -2.65779112E+002, -1.26659570E+002
-2.27402998E-002,  1.67386929E-001,  1.27630729E-004, -2.63703022E+002, -1.30440938E+002
-2.28496257E-002,  1.68497274E-001,  1.41641352E-004, -2.71874688E+002, -1.24297415E+002
-2.29884567E-002,  1.69920350E-001,  1.62663544E-004, -2.79364631E+002, -1.27135774E+002
-2.31652404E-002,  1.71744109E-001,  1.94140430E-004, -2.51542199E+002, -1.29016232E+002
-2.33884127E-002,  1.74081361E-001,  2.42152291E-004, -2.55292621E+002, -1.37334190E+002
-2.36535230E-002,  1.77082701E-001,  3.21320673E-004, -3.19530261E+002, -1.05517523E+002
-2.39249782E-002,  1.80933580E-001,  4.61800968E-004, -3.63562434E+002, -2.22584680E+002
-2.42497452E-002,  1.85870537E-001,  6.72626066E-004, -3.41104180E+002, -1.08693804E+002
-2.46319023E-002,  1.92224189E-001,  9.90668955E-004, -4.09803238E+002, -1.81081375E+002
-2.49639756E-002,  1.98579228E-001,  1.36302096E-003, -5.94835752E+002, -3.48754660E+002
-2.52965614E-002,  2.04934692E-001,  1.75587788E-003, -8.01742962E+002, -4.96594131E+002
-2.56371163E-002,  2.11286825E-001,  2.15798505E-003, -9.68665559E+002, -7.13660074E+002
-2.60075515E-002,  2.17636344E-001,  2.55367645E-003, -1.05251476E+003, -1.08193622E+003
-2.64445175E-002,  2.23974453E-001,  2.91461845E-003, -1.16989147E+003, -2.24537893E+003
-2.69093196E-002,  2.30309811E-001,  3.25779337E-003, -1.19404502E+003, -1.29600677E+003
-2.74280660E-002,  2.36639385E-001,  3.57622871E-003, -1.14325111E+003, -1.05990125E+003
-2.78796463E-002,  2.42079326E-001,  3.84106361E-003, -1.27368194E+003, -1.31456854E+003
-2.82683352E-002,  2.46721679E-001,  4.06115753E-003, -1.29426987E+003, -1.43116622E+003
-2.85994802E-002,  2.50670019E-001,  4.24588411E-003, -1.41790256E+003, -1.56001917E+003
-2.88774770E-002,  2.54017911E-001,  4.40055474E-003, -1.47454495E+003, -1.48149100E+003
-2.91106466E-002,  2.56848940E-001,  4.52995053E-003, -1.58436685E+003, -1.21952628E+003
-2.92957189E-002,  2.59237789E-001,  4.64086194E-003, -1.65989014E+003, -1.65900262E+003
-2.94452557E-002,  2.61249001E-001,  4.73494474E-003, -1.76828451E+003, -1.60374125E+003
-2.95698916E-002,  2.62938616E-001,  4.81358842E-003, -1.80526672E+003, -1.60568416E+003
-2.96738688E-002,  2.64355326E-001,  4.87921329E-003, -1.89699089E+003, -1.96662688E+003
-2.97606050E-002,  2.65541249E-001,  4.93391112E-003, -1.88654096E+003, -1.76344624E+003
-2.98329146E-002,  2.66532507E-001,  4.97946099E-003, -1.85939375E+003, -1.80334426E+003
-2.98931435E-002,  2.67359910E-001,  5.01736292E-003, -1.81187932E+003, -1.70700057E+003
-2.99432634E-002,  2.68049690E-001,  5.04887924E-003, -1.72908772E+003, -1.67595272E+003
-2.99849304E-002,  2.68624070E-001,  5.07506777E-003, -1.62701872E+003, -1.59588093E+003
-3.00195393E-002,  2.69101857E-001,  5.09681527E-003, -1.50675004E+003, -1.56073472E+003
-3.00482607E-002,  2.69498901E-001,  5.11486303E-003, -1.35407553E+003, -1.50769265E+003
-3.00720775E-002,  2.69828551E-001,  5.12983115E-003, -1.19188795E+003, -1.41200349E+003
-3.00918130E-002,  2.70102018E-001,  5.14223757E-003, -1.04157312E+003, -1.31819318E+003
-3.01081558E-002,  2.70328704E-001,  5.15251471E-003, -9.36691095E+002, -1.13749311E+003
-3.01216805E-002,  2.70516470E-001,  5.16102281E-003, -8.99670840E+002, -1.04737292E+003
-3.01328669E-002,  2.70671896E-001,  5.16806248E-003, -8.98479419E+002, -9.65248688E+002
-3.01421140E-002,  2.70800468E-001,  5.17388393E-003, -9.06704306E+002, -8.73865344E+002
-3.01497549E-002,  2.70906768E-001,  5.17869569E-003, -9.66967275E+002, -8.25440281E+002
-3.01560651E-002,  2.70994603E-001,  5.18267075E-003, -1.08694921E+003, -8.33449512E+002
-3.01612748E-002,  2.71067150E-001,  5.18595335E-003, -1.36130950E+003, -1.09051946E+003
-3.01655739E-002,  2.71127033E-001,  5.18866249E-003, -1.60538702E+003, -1.25593410E+003
-2.25680013E-002,  1.63449332E-001,  2.58185221E-005, -2.62971630E+002, -1.24024306E+002
-2.25691476E-002,  1.63459273E-001,  2.58208082E-005, -2.62819958E+002, -1.23969271E+002
-2.25706164E-002,  1.63472013E-001,  2.58238157E-005, -2.62980676E+002, -1.23996920E+002
-2.25724982E-002,  1.63488340E-001,  2.58278131E-005, -2.65463819E+002, -1.24825048E+002
-2.25749092E-002,  1.63509265E-001,  2.58331739E-005, -2.68230211E+002, -1.25790755E+002
-2.25779976E-002,  1.63536081E-001,  2.58404413E-005, -2.70049361E+002, -1.26426273E+002
-2.25819534E-002,  1.63570448E-001,  2.58504209E-005, -2.68997108E+002, -1.26058261E+002
-2.25870193E-002,  1.63614492E-001,  2.58643335E-005, -2.62740234E+002, -1.23578089E+002
-2.25935052E-002,  1.63670938E-001,  2.58840710E-005, -2.51736481E+002, -1.19445845E+002
-2.26018064E-002,  1.63743278E-001,  2.59126357E-005, -2.42347926E+002, -1.15613493E+002
-2.26124262E-002,  1.63835989E-001,  2.59549125E-005, -2.39738828E+002, -1.14021374E+002
-2.26260032E-002,  1.63954808E-001,  2.60190606E-005, -2.40708685E+002, -1.13633012E+002
-2.26433284E-002,  1.64107098E-001,  2.61352742E-005, -2.45870133E+002, -1.14879357E+002
-2.26653420E-002,  1.64302300E-001,  2.64009819E-005, -2.59659067E+002, -1.20538842E+002
-2.26932360E-002,  1.64552510E-001,  2.69380466E-005, -2.80009135E+002, -1.28506349E+002
-2.27284677E-002,  1.64873244E-001,  2.79469225E-005, -2.96567763E+002, -1.33262652E+002
-2.27728065E-002,  1.65284397E-001,  2.97549716E-005, -3.09997765E+002, -1.40383471E+002
-2.28284230E-002,  1.65811477E-001,  3.28768402E-005, -3.09149338E+002, -1.40888101E+002
-2.28980829E-002,  1.66487168E-001,  3.80817225E-005, -3.18260997E+002, -1.38381302E+002
-2.29854992E-002,  1.67353334E-001,  4.64670523E-005, -3.13314315E+002, -1.45294398E+002
-2.30957709E-002,  1.68463570E-001,  5.95831514E-005, -3.23532950E+002, -1.32859026E+002
-2.32357122E-002,  1.69886516E-001,  7.97073432E-005, -3.22082060E+002, -1.41524684E+002
