[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-2.42691685E-003,  2.72656501E-001,  1.58448698E-002,  6.06191870E+001, -1.85724620E+002
-2.42645761E-003,  2.72729191E-001,  1.58469110E-002,  4.77260121E+001, -1.93092253E+002
-2.42607975E-003,  2.72789194E-001,  1.58485981E-002,  3.65768455E+001, -1.71388513E+002
-2.99091841E-003,  1.64972886E-001,  1.24474215E-002,  9.27976230E+001, -2.39376701E+001
-2.99158222E-003,  1.64982855E-001,  1.24481997E-002,  9.27856733E+001, -2.39427397E+001
-2.99243242E-003,  1.64995630E-001,  1.24491977E-002,  9.27792226E+001, -2.39331730E+001
-2.99352207E-003,  1.65012003E-001,  1.24504766E-002,  9.28047171E+001, -2.38932911E+001
-2.99491861E-003,  1.65032985E-001,  1.24521156E-002,  9.28747155E+001, -2.38255384E+001
-2.99670851E-003,  1.65059876E-001,  1.24542162E-002,  9.29183507E+001, -2.37838347E+001
-2.99900263E-003,  1.65094337E-001,  1.24569082E-002,  9.32303396E+001, -2.36358898E+001
-3.00194310E-003,  1.65138502E-001,  1.24603584E-002,  9.36711835E+001, -2.35082417E+001
-3.00571215E-003,  1.65195102E-001,  1.24647803E-002,  9.41817629E+001, -2.34196463E+001
-3.01054353E-003,  1.65267638E-001,  1.24704475E-002,  9.47375545E+001, -2.33364910E+001
-3.01673702E-003,  1.65360597E-001,  1.24777110E-002,  9.53358327E+001, -2.31910339E+001
-3.02467731E-003,  1.65479730E-001,  1.24870206E-002,  9.59342212E+001, -2.29592986E+001
-3.03483891E-003,  1.65632417E-001,  1.24989337E-002,  9.68750678E+001, -2.23362590E+001
