Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
1	5.	5.	5.	3.8941e-006
3	5.	5.	10.	4.8236e-006
5	5.	5.	0.	4.8236e-006
6	10.	5.	0.	6.5933e-006
7	10.	10.	0.	7.6311e-006
8	5.	10.	0.	5.7677e-006
9	0.	10.	0.	4.5551e-006
10	0.	5.	0.	3.7045e-006
11	0.	0.	0.	4.5551e-006
12	5.	0.	0.	5.7677e-006
13	10.	0.	0.	7.6311e-006
20	10.	0.	10.	7.6311e-006
21	10.	0.	5.	6.5933e-006
22	5.	0.	5.	4.8236e-006
23	5.	0.	10.	5.7677e-006
24	0.	0.	10.	4.5551e-006
25	0.	0.	5.	3.7045e-006
26	0.	5.	5.	2.8929e-006
27	0.	5.	10.	3.7045e-006
28	0.	10.	5.	3.7045e-006
29	0.	10.	10.	4.5551e-006
30	5.	10.	5.	4.8236e-006
31	5.	10.	10.	5.7677e-006
32	10.	10.	5.	6.5933e-006
33	10.	10.	10.	7.6311e-006
34	10.	5.	5.	5.5461e-006
35	10.	5.	10.	6.5933e-006
