[Name]
mode1

[Parameters]
Frequency = 1152.13 [Hz]
Maximum Displacement = 0.00128982673254976 [m] 

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], meshdisptot x [ m ], meshdisptot y [ m ], meshdisptot z [ m ]
0.204,-0.0169,0.00673,2.63E-05,9.30E-05,-9.64E-05
0.207,-0.0172,0.00694,3.28E-05,0.000125,-0.000132
0.211,-0.0175,0.00717,3.98E-05,0.000161,-0.000174
0.214,-0.0176,0.00737,4.55E-05,0.000202,-0.000222
0.218,-0.0177,0.00754,5.06E-05,0.000246,-0.000274
0.222,-0.0179,0.00769,5.66E-05,0.000295,-0.000333
0.225,-0.0181,0.00792,6.35E-05,0.000346,-0.000396
0.229,-0.0181,0.00826,7.08E-05,0.0004,-0.000463
0.232,-0.0181,0.00861,7.78E-05,0.000455,-0.000534
0.236,-0.0181,0.00889,8.37E-05,0.000513,-0.000607
0.24,-0.0182,0.00909,8.81E-05,0.000572,-0.000682
0.243,-0.0182,0.00929,9.34E-05,0.000631,-0.000758
0.247,-0.0185,0.00962,0.000103,0.000687,-0.000834
0.25,-0.0188,0.0101,0.000117,0.000742,-0.00091
0.179,-0.0133,0.00834,0,0,0
0.183,-0.0133,0.00843,2.12E-06,1.49E-06,-1.01E-06
0.186,-0.0133,0.00856,5.06E-06,6.34E-06,-5.47E-06
0.19,-0.0134,0.00874,8.65E-06,1.53E-05,-1.44E-05
0.193,-0.0135,0.00893,1.27E-05,2.87E-05,-2.82E-05
0.197,-0.0136,0.00912,1.69E-05,4.64E-05,-4.69E-05
0.201,-0.0137,0.00928,2.11E-05,6.84E-05,-7.05E-05
0.204,-0.0139,0.00943,2.56E-05,9.47E-05,-9.94E-05
0.208,-0.0141,0.00959,3.11E-05,0.000125,-0.000134
0.211,-0.0143,0.00975,3.69E-05,0.00016,-0.000173
0.215,-0.0144,0.00992,4.19E-05,0.000198,-0.000217
0.218,-0.0145,0.0101,4.64E-05,0.00024,-0.000267
0.222,-0.0146,0.0102,5.14E-05,0.000286,-0.000321
0.225,-0.0148,0.0104,5.72E-05,0.000335,-0.00038
0.229,-0.0148,0.0107,6.32E-05,0.000385,-0.000443
0.232,-0.0147,0.011,6.88E-05,0.000437,-0.000508
0.236,-0.0147,0.0112,7.32E-05,0.000491,-0.000576
0.239,-0.0147,0.0114,7.63E-05,0.000547,-0.000646
0.243,-0.0147,0.0115,8.01E-05,0.000603,-0.000717
0.246,-0.0149,0.0118,8.76E-05,0.000658,-0.000788
0.25,-0.0152,0.0121,9.79E-05,0.000711,-0.000859
0.18,-0.0104,0.0112,0,0,0
0.184,-0.0104,0.0113,2.62E-06,1.90E-06,-1.88E-06
0.187,-0.0104,0.0114,5.71E-06,7.37E-06,-7.35E-06
0.191,-0.0105,0.0116,9.25E-06,1.68E-05,-1.70E-05
0.194,-0.0106,0.0118,1.30E-05,3.02E-05,-3.10E-05
0.198,-0.0106,0.0119,1.67E-05,4.77E-05,-4.94E-05
0.201,-0.0107,0.012,2.04E-05,6.90E-05,-7.23E-05
0.205,-0.0108,0.0121,2.42E-05,9.43E-05,-9.98E-05
0.208,-0.0109,0.0122,2.87E-05,0.000123,-0.000132
0.211,-0.0111,0.0123,3.35E-05,0.000156,-0.000169
0.215,-0.0112,0.0125,3.75E-05,0.000193,-0.000211
0.218,-0.0112,0.0126,4.11E-05,0.000233,-0.000257
0.222,-0.0113,0.0126,4.50E-05,0.000276,-0.000308
0.225,-0.0114,0.0128,4.96E-05,0.000322,-0.000363
0.229,-0.0114,0.013,5.45E-05,0.000369,-0.000421
0.232,-0.0113,0.0133,5.87E-05,0.000419,-0.000482
0.236,-0.0113,0.0135,6.16E-05,0.00047,-0.000545
0.239,-0.0112,0.0136,6.35E-05,0.000523,-0.00061
0.243,-0.0112,0.0137,6.60E-05,0.000576,-0.000676
0.246,-0.0114,0.0139,7.14E-05,0.000629,-0.000742
0.25,-0.0116,0.0141,7.90E-05,0.00068,-0.000809
0.181,-0.00754,0.0141,0,0,0
0.185,-0.00747,0.0142,2.95E-06,2.16E-06,-2.52E-06
0.188,-0.00746,0.0143,5.96E-06,7.92E-06,-8.55E-06
0.191,-0.00752,0.0144,9.26E-06,1.75E-05,-1.85E-05
0.195,-0.00758,0.0146,1.26E-05,3.07E-05,-3.23E-05
0.198,-0.0076,0.0147,1.58E-05,4.76E-05,-5.01E-05
0.202,-0.00762,0.0147,1.88E-05,6.82E-05,-7.20E-05
0.205,-0.00767,0.0148,2.20E-05,9.23E-05,-9.82E-05
0.208,-0.00777,0.0149,2.55E-05,0.00012,-0.000129
0.212,-0.00786,0.0149,2.91E-05,0.000151,-0.000163
0.215,-0.00789,0.015,3.23E-05,0.000186,-0.000202
0.219,-0.00792,0.0151,3.53E-05,0.000223,-0.000245
0.222,-0.00802,0.0151,3.84E-05,0.000264,-0.000293
0.225,-0.00806,0.0152,4.18E-05,0.000308,-0.000344
