Element Number	Normal Stress (MPa)
1	2.5437
2	-0.35216
3	-2.3915e-002
4	1.8384
5	0.40561
6	-0.31373
7	1.4893
8	0.60746
9	-0.30677
10	1.7214
11	-0.19726
12	-3.2647e-002
13	1.4393
14	0.32984
15	-0.29175
16	1.1569
17	0.42736
18	-0.34123
19	0.4063
20	-5.093e-002
21	-9.3392e-002
22	0.68161
23	0.13253
24	-0.30069
25	0.97328
26	0.2947
27	-0.37983
82	9.8545
83	9.4482
84	6.393
85	9.6459
86	3.8062
87	2.421
88	1.7383
89	5.025
90	8.2451
