Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
37	10.	0.	10.	0.26218
58	10.	0.	0.	9.8042
63	10.	0.	6.6667	3.1551
64	10.	0.	3.3333	6.8184
65	20.	0.	10.	-1.4455
66	20.	0.	0.	10.408
67	13.333	0.	10.	0.22062
68	16.667	0.	10.	-0.67989
69	13.333	0.	0.	10.098
70	16.667	0.	0.	10.362
71	20.	0.	6.6667	9.6809
72	20.	0.	3.3333	9.1481
73	16.667	0.	3.3333	8.8116
74	16.667	0.	6.6667	7.1265
75	13.333	0.	6.6667	3.8509
76	13.333	0.	3.3333	7.6297
