Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1289	10.	6.	3.	-1.626e-002
1290	10.	6.	4.	-1.24e-002
1291	10.	6.	5.	-8.7836e-003
1292	10.	6.	6.	-5.9881e-003
1293	10.	6.	7.	-4.2584e-003
1294	10.	6.	8.	-4.4106e-003
1295	10.	6.	9.	-5.3988e-003
1296	10.	7.	1.	-2.1899e-002
1297	10.	7.	2.	-2.1791e-002
1298	10.	7.	3.	-1.9636e-002
1299	10.	7.	4.	-1.6933e-002
1300	10.	7.	5.	-1.4251e-002
1301	10.	7.	6.	-1.2091e-002
1302	10.	7.	7.	-1.0839e-002
1303	10.	7.	8.	-1.0345e-002
1304	10.	7.	9.	-8.1416e-003
1305	10.	8.	1.	-2.5153e-002
1306	10.	8.	2.	-2.447e-002
1307	10.	8.	3.	-2.2974e-002
1308	10.	8.	4.	-2.1252e-002
1309	10.	8.	5.	-1.9341e-002
1310	10.	8.	6.	-1.7759e-002
1311	10.	8.	7.	-1.6923e-002
1312	10.	8.	8.	-1.6781e-002
1313	10.	8.	9.	-1.3127e-002
1314	10.	9.	1.	-2.9635e-002
1315	10.	9.	2.	-2.9079e-002
1316	10.	9.	3.	-2.9059e-002
1317	10.	9.	4.	-2.8056e-002
1318	10.	9.	5.	-2.6311e-002
1319	10.	9.	6.	-2.4334e-002
1320	10.	9.	7.	-2.2614e-002
1321	10.	9.	8.	-2.151e-002
1322	10.	9.	9.	-1.805e-002
1323	10.	0.	9.	1.8517
1324	10.	0.	8.	4.5007
1325	10.	0.	7.	7.2728
1326	10.	0.	6.	9.8185
1327	10.	0.	5.	12.181
1328	10.	0.	4.	14.345
1329	10.	0.	3.	16.32
1330	10.	0.	2.	18.088
1331	10.	0.	1.	19.934
