Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1031	10.	0.	10.	0.8332
1241	10.	0.	0.	8.9932
1323	10.	0.	9.	-0.16537
1324	10.	0.	8.	1.4216
1325	10.	0.	7.	2.578
1326	10.	0.	6.	3.7064
1327	10.	0.	5.	4.6962
1328	10.	0.	4.	5.5914
1329	10.	0.	3.	6.3871
1330	10.	0.	2.	7.1037
1331	10.	0.	1.	7.6771
1332	20.	0.	10.	-4.5321
1333	20.	0.	0.	10.052
1334	11.	0.	10.	0.62049
1335	12.	0.	10.	0.38402
1336	13.	0.	10.	0.3226
1337	14.	0.	10.	0.22964
1338	15.	0.	10.	8.6683e-002
1339	16.	0.	10.	-0.13265
1340	17.	0.	10.	-0.49404
1341	18.	0.	10.	-1.1063
1342	19.	0.	10.	-3.0094
1343	11.	0.	0.	9.0661
1344	12.	0.	0.	9.2643
1345	13.	0.	0.	9.5265
1346	14.	0.	0.	9.8829
1347	15.	0.	0.	10.192
1348	16.	0.	0.	10.388
1349	17.	0.	0.	10.422
1350	18.	0.	0.	10.302
1351	19.	0.	0.	10.13
1352	20.	0.	9.	9.5455
1353	20.	0.	8.	8.949
1354	20.	0.	7.	9.7784
1355	20.	0.	6.	9.79
1356	20.	0.	5.	9.8786
1357	20.	0.	4.	9.9034
1358	20.	0.	3.	9.93
1359	20.	0.	2.	9.9583
1360	20.	0.	1.	10.01
1361	14.998	0.	4.9984	6.6419
1362	15.998	0.	4.999	7.474
1363	14.998	0.	5.9984	5.6575
1364	14.998	0.	3.9987	7.4313
1365	15.999	0.	3.9991	8.1127
1366	15.998	0.	5.9989	6.6074
1367	13.998	0.	5.9982	4.8842
1368	13.998	0.	4.9981	5.9225
1369	13.998	0.	3.9982	6.812
1370	15.999	0.	2.9993	8.6306
1371	16.999	0.	5.9993	7.6828
1372	15.999	0.	6.999	5.3506
1373	14.999	0.	6.9987	4.4427
1374	13.999	0.	6.9986	3.7295
1375	12.998	0.	4.9981	5.3587
1376	12.998	0.	3.9982	6.3036
1377	14.999	0.	2.999	8.0999
1378	16.999	0.	2.9996	9.1304
1379	16.999	0.	6.9994	6.6099
1380	12.999	0.	6.9988	3.1245
1381	12.999	0.	2.9985	7.1293
1382	17.999	0.	4.9997	9.1263
1383	18.	0.	2.9998	9.5458
1384	16.999	0.	7.9995	4.6552
1385	17.999	0.	6.9996	8.0187
1386	15.999	0.	7.9993	3.6662
1387	14.999	0.	7.9991	3.0285
1388	11.999	0.	6.9992	2.6862
1389	13.999	0.	7.9992	2.535
1390	12.999	0.	7.9993	2.062
1391	11.999	0.	4.9985	4.9728
1392	12.999	0.	1.9989	7.8989
1393	11.999	0.	2.9987	6.7668
1394	14.999	0.	1.9993	8.7255
1395	17.	0.	1.9998	9.4617
1396	18.	0.	1.9999	9.7279
1397	18.	0.	7.9997	6.602
1398	12.	0.	7.9995	1.4982
1399	11.999	0.	1.9991	7.5031
1400	19.	0.	2.	9.8982
1401	19.	0.	2.9999	9.8276
1402	19.	0.	3.9999	9.762
1403	19.	0.	4.9999	9.6755
1404	19.	0.	5.9998	9.5232
1405	19.	0.	6.9998	9.2311
1406	19.	0.	7.9999	8.4415
1407	19.	0.	8.9999	6.4499
1408	18.	0.	8.9998	2.7979
1409	17.	0.	8.9997	2.0416
1410	16.	0.	8.9996	1.7287
1411	15.	0.	8.9996	1.5359
1412	14.	0.	8.9996	1.368
1413	13.	0.	8.9997	1.1494
1414	12.	0.	8.9998	0.79781
1415	11.	0.	8.9999	0.19735
1416	11.	0.	7.9997	1.2977
1417	11.	0.	6.9995	2.5629
1418	10.999	0.	5.9993	3.7229
1419	10.999	0.	4.9992	4.7622
1420	10.999	0.	3.9992	5.6866
1421	10.999	0.	2.9994	6.5043
1422	11.	0.	1.9996	7.2062
1423	11.	0.	0.99976	7.8513
1424	12.	0.	0.99956	8.3018
1425	13.	0.	0.99946	8.7165
1426	14.	0.	0.9995	9.0664
1427	15.	0.	0.99965	9.3935
1428	16.	0.	0.99978	9.6639
1429	17.	0.	0.99988	9.8554
1430	18.	0.	0.99995	9.9643
1431	19.	0.	0.99999	10.004
1432	17.999	0.	3.9998	9.3651
1433	11.999	0.	3.9986	5.9319
1434	16.999	0.	3.9995	8.7856
1435	16.999	0.	4.9994	8.3451
1436	12.998	0.	5.9984	4.2831
1437	13.999	0.	1.999	8.3141
1438	15.999	0.	1.9996	9.118
1439	13.999	0.	2.9987	7.5859
1440	17.999	0.	5.9996	8.7456
1441	11.999	0.	5.9989	3.8826
