Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
9	6.6667	15.	13.075	3.3443e-004
10	3.3333	15.	14.038	2.9914e-004
21	10.	15.	12.113	3.1794e-004
43	1.7347e-015	10.	20.	3.1646e-004
71	1.7347e-015	20.	10.	2.1538e-004
77	1.7347e-015	10.	10.	2.4878e-005
78	1.7347e-015	15.	10.	1.7508e-004
79	1.7347e-015	15.	15.	1.9937e-004
80	1.7347e-015	15.	20.	3.1278e-004
81	1.7347e-015	10.	15.	2.393e-004
82	1.7347e-015	20.	20.	3.6308e-004
83	1.7347e-015	20.	15.	2.6993e-004
119	6.6667	20.	13.075	3.4269e-004
120	3.3333	20.	14.038	3.4329e-004
121	10.	20.	12.113	3.2709e-004
122	3.3333	20.	8.0755	2.6926e-004
123	10.	20.	4.2265	2.1832e-004
124	6.6667	20.	6.151	2.5366e-004
125	10.	20.	20.	3.0643e-004
126	6.6667	20.	20.	3.1694e-004
127	3.3333	20.	20.	3.858e-004
128	6.6667	10.	13.075	3.1573e-004
129	3.3333	10.	14.038	2.9986e-004
130	10.	10.	12.113	3.2402e-004
131	10.	10.	4.2265	2.1946e-004
132	6.6667	10.	6.151	1.8047e-004
133	3.3333	10.	8.0755	1.1392e-004
134	10.	10.	20.	2.9513e-004
135	6.6667	10.	20.	3.1514e-004
136	3.3333	10.	20.	3.5874e-004
137	6.6667	15.	20.	3.3232e-004
138	3.3333	15.	20.	3.7195e-004
139	10.	15.	20.	3.07e-004
150	6.6667	15.	6.151	2.3152e-004
151	3.3333	15.	8.0755	2.1011e-004
152	10.	15.	4.2265	2.2552e-004
