Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
11	6.6667	5.	3.0755	-3.9689e-002
12	3.3333	5.	4.0377	1.0292e-002
22	3.3333	5.	8.0755	2.3817e-002
23	6.6667	5.	6.151	-0.10633
47	6.6667	5.	0.	-0.14874
48	3.3333	5.	0.	-0.1428
49	6.6667	10.	0.	4.1041e-002
50	3.3333	10.	0.	0.12534
51	10.	10.	0.	1.9108e-002
52	10.	5.	0.	-9.4531e-002
53	10.	0.	0.	-8.3341e-002
54	6.6667	0.	0.	-0.16965
55	3.3333	0.	0.	-0.28639
56	1.7347e-015	0.	0.	-0.30284
57	1.7347e-015	5.	0.	-0.13983
58	1.7347e-015	10.	0.	0.2711
77	1.7347e-015	10.	10.	1.0341
96	1.7347e-015	5.	10.	4.9588e-002
98	1.7347e-015	-1.7347e-015	10.	-7.5e-002
109	1.7347e-015	10.	5.	0.79065
118	1.7347e-015	0.	5.	-0.21763
131	10.	10.	4.2265	1.592
132	6.6667	10.	6.151	1.4301
133	3.3333	10.	8.0755	1.2115
140	1.7347e-015	5.	5.	2.7837e-002
141	6.6667	0.	3.0755	-7.733e-002
142	3.3333	0.	4.0377	-0.16794
143	6.6667	-1.7347e-015	6.151	-7.3735e-003
144	3.3333	-1.7347e-015	8.0755	-4.8203e-002
145	10.	0.	4.2265	-5.2871e-003
146	10.	0.	2.1132	-7.19e-002
147	10.	5.	2.1132	-1.4826e-002
148	10.	5.	4.2265	-0.26947
149	10.	10.	2.1132	0.2437
153	6.6667	10.	3.0755	0.46252
154	3.3333	10.	4.0377	0.69441
