Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
13	3.3333	15.	4.0377	0.23632
14	6.6667	15.	3.0755	0.1692
24	10.	15.	2.1132	6.5508e-002
25	1.7347e-015	15.	5.	0.23347
49	6.6667	10.	0.	-2.1199e-002
50	3.3333	10.	0.	3.9624e-002
51	10.	10.	0.	-3.9521e-002
58	1.7347e-015	10.	0.	2.4548e-002
61	1.7347e-015	15.	0.	8.7594e-002
66	1.7347e-015	20.	0.	0.2135
69	1.7347e-015	20.	5.	0.39724
71	1.7347e-015	20.	10.	0.58883
77	1.7347e-015	10.	10.	3.2063e-002
78	1.7347e-015	15.	10.	0.44428
109	1.7347e-015	10.	5.	4.2596e-002
122	3.3333	20.	8.0755	0.54823
123	10.	20.	4.2265	0.56302
124	6.6667	20.	6.151	0.49618
131	10.	10.	4.2265	-0.18711
132	6.6667	10.	6.151	-1.7949e-002
133	3.3333	10.	8.0755	1.5604e-002
149	10.	10.	2.1132	-2.9525e-002
150	6.6667	15.	6.151	0.4951
151	3.3333	15.	8.0755	0.46215
152	10.	15.	4.2265	0.62745
153	6.6667	10.	3.0755	1.0202e-002
154	3.3333	10.	4.0377	3.8507e-002
155	6.6667	15.	0.	-2.8284e-002
156	3.3333	15.	0.	2.2798e-002
157	10.	15.	0.	-8.9025e-003
158	3.3333	20.	0.	0.11501
159	6.6667	20.	0.	-3.8019e-003
160	10.	20.	0.	-3.5584e-003
161	6.6667	20.	3.0755	0.2203
162	3.3333	20.	4.0377	0.3594
163	10.	20.	2.1132	7.6876e-002
