Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
5	-6.6667	5.	16.925	8.6175e-007
6	-3.3333	5.	15.962	2.8402e-007
19	-3.3333	5.	11.925	9.6765e-007
20	-6.6667	5.	13.849	5.8907e-007
28	-10.	10.	15.774	1.5237e-006
35	-6.6667	5.	20.	1.295e-006
36	-3.3333	5.	20.	3.3119e-007
37	-6.6667	0.	20.	-6.5296e-008
38	-3.3333	0.	20.	-6.1122e-007
39	-10.	5.	20.	1.1581e-006
40	-10.	0.	20.	3.0796e-007
41	1.7347e-015	5.	20.	-6.0354e-007
42	1.7347e-015	0.	20.	4.0416e-007
43	1.7347e-015	10.	20.	5.3344e-006
44	-3.3333	10.	20.	5.4578e-006
45	-6.6667	10.	20.	4.3327e-006
46	-10.	10.	20.	3.9403e-006
75	-6.6667	10.	13.849	1.8952e-006
76	-3.3333	10.	11.925	2.6409e-006
77	1.7347e-015	10.	10.	2.8773e-006
81	1.7347e-015	10.	15.	3.5828e-006
86	-10.	10.	17.887	2.5361e-006
93	-3.3333	10.	15.962	3.5683e-006
94	-6.6667	10.	16.925	2.8401e-006
95	1.7347e-015	5.	15.	-5.5181e-007
96	1.7347e-015	5.	10.	5.1174e-007
97	1.7347e-015	-1.1848e-015	15.	6.4567e-007
98	1.7347e-015	-1.7347e-015	10.	-2.8506e-007
99	-10.	5.	17.887	7.1485e-007
100	-10.	5.	15.774	3.4017e-007
101	-10.	0.	17.887	1.8527e-007
102	-10.	0.	15.774	2.0882e-007
103	-6.6667	-1.3965e-015	16.925	-1.4133e-007
104	-3.3333	-1.2907e-015	15.962	-3.3933e-007
105	-6.6667	-1.7347e-015	13.849	-6.9714e-008
106	-3.3333	-1.7347e-015	11.925	-7.1906e-007
