Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
13	3.3333	15.	4.0377	1.1378e-004
14	6.6667	15.	3.0755	8.4577e-005
24	10.	15.	2.1132	5.6337e-005
25	1.7347e-015	15.	5.	8.9218e-005
49	6.6667	10.	0.	-5.2078e-006
50	3.3333	10.	0.	2.5567e-006
51	10.	10.	0.	1.2541e-005
58	1.7347e-015	10.	0.	2.7447e-006
61	1.7347e-015	15.	0.	2.9915e-005
66	1.7347e-015	20.	0.	8.0177e-005
69	1.7347e-015	20.	5.	1.5306e-004
71	1.7347e-015	20.	10.	2.2698e-004
77	1.7347e-015	10.	10.	3.6406e-006
78	1.7347e-015	15.	10.	1.7141e-004
109	1.7347e-015	10.	5.	8.7941e-006
122	3.3333	20.	8.0755	2.7087e-004
123	10.	20.	4.2265	2.4859e-004
124	6.6667	20.	6.151	2.5166e-004
131	10.	10.	4.2265	-3.6555e-005
132	6.6667	10.	6.151	-8.1333e-007
133	3.3333	10.	8.0755	-1.6298e-006
149	10.	10.	2.1132	9.1086e-006
150	6.6667	15.	6.151	2.3218e-004
151	3.3333	15.	8.0755	2.1216e-004
152	10.	15.	4.2265	2.9732e-004
153	6.6667	10.	3.0755	8.2419e-006
154	3.3333	10.	4.0377	6.9767e-006
155	6.6667	15.	0.	-1.7953e-005
156	3.3333	15.	0.	1.244e-005
157	10.	15.	0.	1.1985e-005
158	3.3333	20.	0.	6.3277e-005
159	6.6667	20.	0.	-6.3689e-006
160	10.	20.	0.	1.2756e-006
161	6.6667	20.	3.0755	1.1546e-004
162	3.3333	20.	4.0377	1.8245e-004
163	10.	20.	2.1132	4.4041e-005
