Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
3	-6.6667	15.	16.925	3.2317e-006
4	-3.3333	15.	15.962	2.5452e-006
15	-3.3333	15.	20.	4.2711e-006
16	-6.6667	15.	20.	4.7576e-006
28	-10.	10.	15.774	1.3534e-006
29	-10.	15.	15.774	2.0033e-006
30	-10.	20.	15.774	3.0283e-006
43	1.7347e-015	10.	20.	6.3528e-006
44	-3.3333	10.	20.	4.8e-006
45	-6.6667	10.	20.	4.5952e-006
46	-10.	10.	20.	3.6976e-006
70	-6.6667	20.	13.849	3.6317e-006
71	1.7347e-015	20.	10.	4.5867e-006
72	-3.3333	20.	11.925	3.3896e-006
73	-6.6667	15.	13.849	2.4448e-006
74	-3.3333	15.	11.925	2.0948e-006
75	-6.6667	10.	13.849	2.0926e-006
76	-3.3333	10.	11.925	2.2471e-006
77	1.7347e-015	10.	10.	3.2963e-006
78	1.7347e-015	15.	10.	2.8459e-006
79	1.7347e-015	15.	15.	3.3874e-006
80	1.7347e-015	15.	20.	5.4553e-006
81	1.7347e-015	10.	15.	4.3524e-006
82	1.7347e-015	20.	20.	7.3848e-006
83	1.7347e-015	20.	15.	5.345e-006
84	-10.	15.	17.887	2.5425e-006
85	-10.	15.	20.	3.9699e-006
86	-10.	10.	17.887	2.3318e-006
87	-10.	20.	20.	5.1953e-006
88	-10.	20.	17.887	3.6655e-006
89	-6.6667	20.	16.925	4.5592e-006
90	-3.3333	20.	15.962	4.1093e-006
91	-6.6667	20.	20.	6.086e-006
92	-3.3333	20.	20.	5.8452e-006
93	-3.3333	10.	15.962	3.0585e-006
94	-6.6667	10.	16.925	3.0506e-006
