Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
11	6.6667	5.	3.0755	-2.0718e-007
12	3.3333	5.	4.0377	-5.5387e-008
22	3.3333	5.	8.0755	1.4615e-008
23	6.6667	5.	6.151	-4.1922e-007
47	6.6667	5.	0.	-7.3081e-007
48	3.3333	5.	0.	-8.7706e-007
49	6.6667	10.	0.	7.3598e-008
50	3.3333	10.	0.	6.5675e-007
51	10.	10.	0.	7.6458e-007
52	10.	5.	0.	-1.2513e-007
53	10.	0.	0.	-2.1664e-007
54	6.6667	0.	0.	-8.5807e-007
55	3.3333	0.	0.	-1.5345e-006
56	1.7347e-015	0.	0.	-1.5767e-006
57	1.7347e-015	5.	0.	-7.3673e-007
58	1.7347e-015	10.	0.	1.2998e-006
77	1.7347e-015	10.	10.	4.6752e-006
96	1.7347e-015	5.	10.	2.2852e-007
98	1.7347e-015	-1.7347e-015	10.	-3.8998e-007
109	1.7347e-015	10.	5.	3.5915e-006
118	1.7347e-015	0.	5.	-1.0571e-006
131	10.	10.	4.2265	9.1828e-006
132	6.6667	10.	6.151	6.0121e-006
133	3.3333	10.	8.0755	5.3003e-006
140	1.7347e-015	5.	5.	7.8918e-008
141	6.6667	0.	3.0755	-3.9557e-007
142	3.3333	0.	4.0377	-9.8268e-007
143	6.6667	-1.7347e-015	6.151	-3.2227e-008
144	3.3333	-1.7347e-015	8.0755	-3.6607e-007
145	10.	0.	4.2265	2.8965e-007
146	10.	0.	2.1132	1.2996e-007
147	10.	5.	2.1132	1.1426e-008
148	10.	5.	4.2265	-6.9674e-007
149	10.	10.	2.1132	2.2938e-006
153	6.6667	10.	3.0755	2.1036e-006
154	3.3333	10.	4.0377	3.3384e-006
