Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
9	6.6667	15.	13.075	0.67354
10	3.3333	15.	14.038	0.60388
21	10.	15.	12.113	0.67453
43	1.7347e-015	10.	20.	0.81201
71	1.7347e-015	20.	10.	0.56304
77	1.7347e-015	10.	10.	7.6044e-002
78	1.7347e-015	15.	10.	0.47866
79	1.7347e-015	15.	15.	0.54511
80	1.7347e-015	15.	20.	0.81478
81	1.7347e-015	10.	15.	0.6481
82	1.7347e-015	20.	20.	0.92713
83	1.7347e-015	20.	15.	0.71056
119	6.6667	20.	13.075	0.69158
120	3.3333	20.	14.038	0.70458
121	10.	20.	12.113	0.6815
122	3.3333	20.	8.0755	0.55487
123	10.	20.	4.2265	0.50099
124	6.6667	20.	6.151	0.48904
125	10.	20.	20.	0.61734
126	6.6667	20.	20.	0.62582
127	3.3333	20.	20.	0.76341
128	6.6667	10.	13.075	0.63772
129	3.3333	10.	14.038	0.62265
130	10.	10.	12.113	0.67064
131	10.	10.	4.2265	0.35101
132	6.6667	10.	6.151	0.37928
133	3.3333	10.	8.0755	0.28248
134	10.	10.	20.	0.63182
135	6.6667	10.	20.	0.63119
136	3.3333	10.	20.	0.71635
137	6.6667	15.	20.	0.67109
138	3.3333	15.	20.	0.75359
139	10.	15.	20.	0.62061
150	6.6667	15.	6.151	0.46401
151	3.3333	15.	8.0755	0.45529
152	10.	15.	4.2265	0.50246
