Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
3	-6.6667	15.	16.925	0.64966
4	-3.3333	15.	15.962	0.51293
15	-3.3333	15.	20.	0.88273
16	-6.6667	15.	20.	0.9498
28	-10.	10.	15.774	0.3758
29	-10.	15.	15.774	0.5552
30	-10.	20.	15.774	0.78532
43	1.7347e-015	10.	20.	1.0141
44	-3.3333	10.	20.	0.99827
45	-6.6667	10.	20.	0.92957
46	-10.	10.	20.	0.95737
70	-6.6667	20.	13.849	0.75204
71	1.7347e-015	20.	10.	0.7097
72	-3.3333	20.	11.925	0.68205
73	-6.6667	15.	13.849	0.51738
74	-3.3333	15.	11.925	0.4037
75	-6.6667	10.	13.849	0.47616
76	-3.3333	10.	11.925	0.41161
77	1.7347e-015	10.	10.	0.50185
78	1.7347e-015	15.	10.	0.36176
79	1.7347e-015	15.	15.	0.40976
80	1.7347e-015	15.	20.	0.81054
81	1.7347e-015	10.	15.	0.64013
82	1.7347e-015	20.	20.	1.1954
83	1.7347e-015	20.	15.	0.82895
84	-10.	15.	17.887	0.70096
85	-10.	15.	20.	1.0338
86	-10.	10.	17.887	0.64099
87	-10.	20.	20.	1.3173
88	-10.	20.	17.887	0.95664
89	-6.6667	20.	16.925	0.92637
90	-3.3333	20.	15.962	0.8475
91	-6.6667	20.	20.	1.2125
92	-3.3333	20.	20.	1.2157
93	-3.3333	10.	15.962	0.62717
94	-6.6667	10.	16.925	0.63026
