Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
7	-6.6667	5.	6.9245	7.6196e-002
8	-3.3333	5.	5.9623	0.10367
17	-6.6667	5.	0.	2.2425e-002
18	-3.3333	5.	0.	-5.1699e-003
19	-3.3333	5.	11.925	0.11196
20	-6.6667	5.	13.849	4.1168e-002
27	-10.	10.	7.8868	0.15831
28	-10.	10.	15.774	0.27478
32	-10.	10.	0.	0.19377
56	1.7347e-015	0.	0.	-0.31965
57	1.7347e-015	5.	0.	-3.5005e-002
58	1.7347e-015	10.	0.	0.19013
62	-6.6667	10.	0.	0.18687
63	-3.3333	10.	0.	0.19976
75	-6.6667	10.	13.849	0.29183
76	-3.3333	10.	11.925	0.28157
77	1.7347e-015	10.	10.	0.29497
96	1.7347e-015	5.	10.	0.15285
98	1.7347e-015	-1.7347e-015	10.	-5.094e-002
100	-10.	5.	15.774	2.0762e-002
102	-10.	0.	15.774	1.6159e-002
105	-6.6667	-1.7347e-015	13.849	7.1609e-003
106	-3.3333	-1.7347e-015	11.925	-4.5245e-002
107	-6.6667	10.	6.9245	0.19605
108	-3.3333	10.	5.9623	0.30689
109	1.7347e-015	10.	5.	0.36887
110	-10.	5.	7.8868	7.2131e-002
111	-10.	5.	0.	2.439e-002
112	-10.	0.	7.8868	-6.5844e-002
113	-10.	0.	0.	-0.14734
114	-6.6667	0.	6.9245	-9.8954e-002
115	-3.3333	0.	5.9623	-0.18021
116	-6.6667	0.	0.	-0.18579
117	-3.3333	0.	0.	-0.27207
118	1.7347e-015	0.	5.	-0.21034
140	1.7347e-015	5.	5.	0.11818
