"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
0,0,0.999999682931835,0,0
0.001,0.314107590781283,0.999999894057231,0,0
0.002,0.627905195293134,0.999998526046299,0,0
0.003,0.941083133185143,0.999995578901197,0,0
0.004,1.25333233564304,0.999991052626581,0,0
0.005,1.56434465040231,0.999984947229598,0,0
0.006,1.87381314585725,0.999977262719888,0,0
0.007,2.18143241396543,0.999967999109588,0,0
0.008,2.48689887164855,0.999957156413324,0,0
0.009,2.78991106039229,0.999944734648221,0,0
0.01,3.09016994374947,0.999930733833892,0,0
0.011,3.38737920245292,0.999915153992448,0,0
0.012,3.68124552684678,0.999897995148491,0,0
0.013,3.97147890634781,0.999879257329117,0,0
0.014,4.25779291565073,0.999858940563916,0,0
0.015,4.53990499739547,0.999837044884971,0,0
0.016,4.81753674101715,0.999813570326858,0,0
0.017,5.09041415750371,0.999788516926646,0,0
0.018,5.35826794978997,0.999761884723899,0,0
0.019,5.62083377852131,0.999733673760671,0,0
0.02,5.87785252292473,0.999703884081513,0,0
0.021,6.12907053652977,0.999672515733466,0,0
0.022,6.3742398974869,0.999639568766065,0,0
0.023,6.61311865323652,0.999605043231337,0,0
0.024,6.84547105928689,0.999568939183804,0,0
0.025,7.07106781186548,0.999531256680479,0,0
0.026,7.28968627421412,0.999491995780866,0,0
0.027,7.5011106963046,0.999451156546966,0,0
0.028,7.7051324277579,0.999408739043267,0,0
0.029,7.90155012375691,0.999364743336754,0,0
0.03,8.09016994374948,0.999319169496902,0,0
0.031,8.27080574274562,0.999272017595678,0,0
0.032,8.44327925502015,0.999223287707541,0,0
0.033,8.60742027003944,0.999172979909442,0,0
0.034,8.76306680043864,0.999121094280824,0,0
0.035,8.91006524188368,0.999067630903622,0,0
0.036,9.0482705246602,0.999012589862262,0,0
0.037,9.17754625683981,0.998955971243661,0,0
0.038,9.29776485888252,0.998897775137228,0,0
0.039,9.40880768954226,0.998838001634861,0,0
0.04,9.51056516295154,0.998776650830952,0,0
0.041,9.60293685676943,0.998713722822382,0,0
0.042,9.68583161128631,0.998649217708524,0,0
0.043,9.75916761938748,0.998583135591238,0,0
0.044,9.82287250728689,0.998515476574878,0,0
0.045,9.87688340595138,0.998446240766287,0,0
0.046,9.92114701314478,0.998375428274798,0,0
0.047,9.9556196460308,0.998303039212232,0,0
0.048,9.98026728428272,0.998229073692903,0,0
0.049,9.99506560365732,0.998153531833612,0,0
