Phase angle,Temperature,Time since sunrise
21.246790936488463,302.2798303382074,150427.27983033832
29.751534769505525,320.86616809911817,210640.8661680991
41.36343341890837,340.60860587119095,292853.10860587127
49.87621386315439,356.0941511329389,353123.5941511331
60.73166648063402,367.6986828887152,429980.1986828888
70.04509431856235,374.267775421364,495919.26777542144
80.14108717490794,378.89719834802986,567398.8971983482
89.46857908248688,380.0399040071436,633437.5399040071
100.36019645049672,377.6908695166871,710550.1908695167
110.4823082933363,372.24271682107377,782214.742716821
120.60743386538678,365.6317669382743,853900.6317669384
130.7405960486661,355.92002455631206,925643.4200245561
139.32570599397252,343.49843732559435,986425.9984373255
148.6953901105034,328.3619823641031,1052763.3619823642
161.21140752316106,299.2652639803549,1141376.7652639803
170.64739368233063,258.5472709007701,1208183.5472709008
183.4346467239647,124.79880567027568,1298717.29880567
188.88648286639136,121.2986940506753,1337316.2986940509
195.11586114521708,117.79690813706884,1381420.296908137
200.5626744056256,116.23479182944516,1419983.7347918293
208.3461323808461,113.11725639022217,1475090.6172563902
213.79093648844736,112.33033820738922,1513639.8303382073
219.23674517245223,111.15582096216087,1552196.1558209618
227.7927224020538,109.97460654090855,1612772.4746065412
232.459984373256,109.18936265208168,1645816.6893626524
237.90478848085723,108.40244446924874,1684365.9024444693
244.126130148454,108.00145105480522,1728413.0014510541
251.1250139524501,107.59878334635556,1777965.0987833466
256.56780890724417,107.58706328831336,1816500.0870632888
274.45630092644274,105.61055921419796,1943150.6105592144
280.67663801763587,105.59716486214978,1987190.597164862
287.6755218216319,105.19449715370013,2036742.6944971539
294.6754102020315,104.4042303828552,2086301.904230383
300.8967518696284,104.0032369684116,2130349.0032369695
307.1170889608215,103.98984261636345,2174388.989842616
312.5598839156156,103.97812255832122,2212923.9781225584
319.5577631432079,103.96305391226696,2262468.963053912
325.00357182721285,102.78853666703873,2301025.288536667
331.2239089184061,102.77514231499048,2345065.275142315
336.6667038732001,102.76342225694827,2383600.263422257
342.10849425159057,103.13930126130144,2422128.1393012614
348.330840495591,102.35070878446248,2466182.3507087845
356.10525728317896,102.7215649067976,2521225.221564907
