"H (A_per_meter)" 	"B (tesla)"
0 	0
10.005000000000001 	0.034000000000000002
15.007 	0.057000000000000002
20.010000000000002 	0.089999999999999997
30.015000000000001 	0.19800000000000001
40.033999999999999 	0.37
50.048000000000002 	0.56200000000000006
60.061 	0.748
67.279491252 	0.86001904447999999
76.339295371999995 	0.95826252950000002
87.601402594999996 	1.0436786143000001
101.42680315 	1.1172154583
118.17648728 	1.1798212206000001
138.21144520999999 	1.2324440606
161.89266717000001 	1.2760321375000001
189.58114338999999 	1.3115336106
221.63786411999999 	1.3398966392
258.42381957999999 	1.3620693826000001
300.30000000000001 	1.379
400.80000000000001 	1.4119999999999999
500.80000000000001 	1.4339999999999999
600.79999999999995 	1.452
800.89999999999998 	1.478
1001 	1.498
2005.5 	1.5669999999999999
2506 	1.593
5013 	1.6879999999999999
8016 	1.7689999999999999
10017 	1.8109999999999999
14979.352000000001 	1.8718715159999999
30018.718000000001 	1.923961998
55616.408000000003 	1.963927948
92665.592999999993 	2.0125364769999998
142649.57000000001 	2.0760157330000002
208013.60000000001 	2.158412749
293010.72999999998 	2.2653369730000001
406010.20000000001 	2.407391643
568476.41000000003 	2.6115821760000002
1000000 	3.1538714809999999
